method,num_queries,mrr,recall@1,recall@3,recall@5
hybrid,1832,0.5884102221027798,0.4808951965065502,0.6533842794759825,0.7134279475982532
keyword,1832,0.5202288506637972,0.41866812227074235,0.5786026200873362,0.6430131004366813
time_aware,1832,0.6077665990336254,0.49945414847161573,0.6752183406113537,0.7308951965065502
type_aware,1832,0.6121961771570089,0.5049126637554585,0.6746724890829694,0.7368995633187773
vector,1832,0.5394527142168002,0.4328602620087336,0.5960698689956332,0.6555676855895196
