method,num_queries,mrr,recall@1,recall@3,recall@5
hybrid,1830,0.5953369435397109,0.4885245901639344,0.6617486338797814,0.7158469945355191
keyword,1830,0.5260047628189679,0.42240437158469946,0.5901639344262295,0.6426229508196721
time_aware,1830,0.6128512908702598,0.5060109289617486,0.6754098360655738,0.7387978142076502
type_aware,1830,0.6164307414880482,0.5081967213114754,0.6836065573770492,0.7448087431693989
vector,1830,0.5367021573017894,0.4311475409836066,0.5934426229508196,0.659016393442623
