record_idx,sample_id,session,prompt_tokens,completion_tokens,total_tokens
1,conv-26,D1,1067,758,1825
1,conv-26,D2,1262,686,1948
1,conv-26,D3,1683,814,2497
1,conv-26,D4,1355,666,2021
1,conv-26,D5,1171,471,1642
1,conv-26,D6,1172,883,2055
1,conv-26,D7,1591,892,2483
1,conv-26,D8,1852,1102,2954
1,conv-26,D9,1145,613,1758
1,conv-26,D10,1507,791,2298
1,conv-26,D11,1287,735,2022
1,conv-26,D12,1346,767,2113
1,conv-26,D13,1306,764,2070
1,conv-26,D14,1860,869,2729
1,conv-26,D15,1579,848,2427
1,conv-26,D16,1526,801,2327
1,conv-26,D17,1642,987,2629
1,conv-26,D18,1370,740,2110
1,conv-26,D19,1209,823,2032
2,conv-30,D1,1421,875,2296
2,conv-30,D2,1246,763,2009
2,conv-30,D3,1160,659,1819
2,conv-30,D4,1195,756,1951
2,conv-30,D5,1625,801,2426
2,conv-30,D6,1208,678,1886
2,conv-30,D7,1127,613,1740
2,conv-30,D8,1515,962,2477
2,conv-30,D9,1155,652,1807
2,conv-30,D10,1204,710,1914
2,conv-30,D11,1306,783,2089
2,conv-30,D12,1155,861,2016
2,conv-30,D13,1217,758,1975
2,conv-30,D14,1245,910,2155
2,conv-30,D15,1177,622,1799
2,conv-30,D16,1070,608,1678
2,conv-30,D17,1247,610,1857
2,conv-30,D18,1482,842,2324
2,conv-30,D19,998,410,1408
3,conv-41,D1,1073,682,1755
3,conv-41,D2,1608,763,2371
3,conv-41,D3,1246,753,1999
3,conv-41,D4,1385,693,2078
3,conv-41,D5,1312,761,2073
3,conv-41,D6,1397,666,2063
3,conv-41,D7,1215,468,1683
3,conv-41,D8,1533,917,2450
3,conv-41,D9,1203,527,1730
3,conv-41,D10,1436,688,2124
3,conv-41,D11,1409,625,2034
3,conv-41,D12,1444,476,1920
3,conv-41,D13,1899,777,2676
3,conv-41,D14,1535,944,2479
3,conv-41,D15,1278,693,1971
3,conv-41,D16,1196,613,1809
3,conv-41,D17,1204,552,1756
3,conv-41,D18,1425,607,2032
3,conv-41,D19,1713,936,2649
3,conv-41,D20,1287,497,1784
3,conv-41,D21,1476,886,2362
3,conv-41,D22,1421,691,2112
3,conv-41,D23,1110,401,1511
3,conv-41,D24,1188,793,1981
3,conv-41,D25,1258,613,1871
3,conv-41,D26,1263,717,1980
3,conv-41,D27,1139,710,1849
3,conv-41,D28,1224,530,1754
3,conv-41,D29,1297,489,1786
3,conv-41,D30,1457,621,2078
4,conv-42,D1,1148,855,2003
4,conv-42,D2,1485,1030,2515
4,conv-42,D3,1314,712,2026
4,conv-42,D4,1153,651,1804
4,conv-42,D5,1347,609,1956
4,conv-42,D6,1030,545,1575
4,conv-42,D7,932,376,1308
4,conv-42,D8,1321,805,2126
4,conv-42,D9,1312,700,2012
4,conv-42,D10,1148,886,2034
4,conv-42,D11,1158,636,1794
4,conv-42,D12,1245,776,2021
4,conv-42,D13,1295,552,1847
4,conv-42,D14,1338,711,2049
4,conv-42,D15,1173,556,1729
4,conv-42,D16,1024,621,1645
4,conv-42,D17,1317,966,2283
4,conv-42,D18,1203,716,1919
4,conv-42,D19,1331,855,2186
4,conv-42,D20,1240,957,2197
4,conv-42,D21,1387,934,2321
4,conv-42,D22,1393,873,2266
4,conv-42,D23,1671,825,2496
4,conv-42,D24,1167,790,1957
4,conv-42,D25,1465,727,2192
4,conv-42,D26,1377,826,2203
4,conv-42,D27,1949,964,2913
4,conv-42,D28,1745,853,2598
4,conv-42,D29,1113,702,1815
5,conv-43,D1,1167,693,1860
5,conv-43,D2,1319,735,2054
5,conv-43,D3,1698,916,2614
5,conv-43,D4,1013,603,1616
5,conv-43,D5,1285,505,1790
5,conv-43,D6,1605,879,2484
5,conv-43,D7,1314,629,1943
5,conv-43,D8,2005,1055,3060
5,conv-43,D9,1152,705,1857
5,conv-43,D10,1139,813,1952
5,conv-43,D11,1647,914,2561
5,conv-43,D12,1566,818,2384
5,conv-43,D13,1266,523,1789
