run,variant,method,num_memories,token_ratio_vs_raw,recall@1,recall@3,recall@5,mrr
compression_100,raw,hybrid,100,1.0,0.4,0.825,0.9875,0.6372916666666667
compression_100,raw,time_aware,100,1.0,0.575,0.8875,0.9875,0.7404166666666666
compression_100,raw,vector,100,1.0,0.4,0.825,0.9875,0.6372916666666667
compression_100,fact,hybrid,100,0.43437273386511965,0.35,0.6875,0.9,0.5704811507936508
compression_100,fact,time_aware,100,0.43437273386511965,0.525,0.75,0.875,0.6742311507936508
compression_100,fact,vector,100,0.43437273386511965,0.35,0.6875,0.8875,0.569141865079365
compression_100,summary,hybrid,20,0.43437273386511965,0.4125,0.6625,0.75,0.5705163239538239
compression_100,summary,time_aware,20,0.43437273386511965,0.4,0.6625,0.75,0.5669448953823953
compression_100,summary,vector,20,0.43437273386511965,0.3625,0.5875,0.725,0.5250847763347763
compression_300,raw,hybrid,300,1.0,0.2,0.5458333333333333,0.7208333333333333,0.4375517538017538
compression_300,raw,time_aware,300,1.0,0.3375,0.6458333333333334,0.75,0.5288711982461982
compression_300,raw,vector,300,1.0,0.175,0.525,0.7,0.41586524586524587
compression_300,fact,hybrid,300,0.431624969638086,0.19583333333333333,0.5083333333333333,0.6375,0.4102040537239168
compression_300,fact,time_aware,300,0.431624969638086,0.325,0.6041666666666666,0.6791666666666667,0.49575890226589764
compression_300,fact,vector,300,0.431624969638086,0.19583333333333333,0.5041666666666667,0.625,0.4073541630565919
compression_300,summary,hybrid,60,0.431624969638086,0.19166666666666668,0.37083333333333335,0.4583333333333333,0.33141659446959715
compression_300,summary,time_aware,60,0.431624969638086,0.18333333333333332,0.36666666666666664,0.4625,0.32747241427222673
compression_300,summary,vector,60,0.431624969638086,0.15416666666666667,0.325,0.3958333333333333,0.2894119721102024
compression_500,raw,hybrid,500,1.0,0.1375,0.4175,0.5725,0.34525442476181556
compression_500,raw,time_aware,500,1.0,0.24,0.5225,0.6425,0.4239210914284822
compression_500,raw,vector,500,1.0,0.12,0.3825,0.5425,0.3239807054255962
compression_500,fact,hybrid,500,0.43115519253208867,0.135,0.395,0.525,0.32370754185430556
compression_500,fact,time_aware,500,0.43115519253208867,0.235,0.5075,0.615,0.4060489658742348
compression_500,fact,vector,500,0.43115519253208867,0.135,0.3875,0.52,0.3207308638552518
compression_500,summary,hybrid,100,0.43115519253208867,0.1125,0.2875,0.3575,0.24393761298849978
compression_500,summary,time_aware,100,0.43115519253208867,0.11,0.285,0.3525,0.24063463527591766
compression_500,summary,vector,100,0.43115519253208867,0.11,0.2475,0.34,0.22754742362915362
