split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5
record_01,type_aware,176,0.5909092381096089,0.48295454545454547,0.6590909090909091,0.7215909090909091
record_01,intrinsic_reranker_loco,176,0.6518080597761922,0.5340909090909091,0.7443181818181818,0.8011363636363636
record_01,candidate_oracle,176,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
record_02,type_aware,94,0.5765103987861724,0.48936170212765956,0.6276595744680851,0.6702127659574468
record_02,intrinsic_reranker_loco,94,0.6217725334886589,0.5212765957446809,0.6914893617021277,0.7446808510638298
record_02,candidate_oracle,94,0.8829787234042553,0.8829787234042553,0.8829787234042553,0.8829787234042553
record_03,type_aware,173,0.6327424355646654,0.5202312138728323,0.7109826589595376,0.7687861271676301
record_03,intrinsic_reranker_loco,173,0.687302561433149,0.5838150289017341,0.7745664739884393,0.8092485549132948
record_03,candidate_oracle,173,0.930635838150289,0.930635838150289,0.930635838150289,0.930635838150289
record_04,type_aware,239,0.5872557905614747,0.4769874476987448,0.6443514644351465,0.698744769874477
record_04,intrinsic_reranker_loco,239,0.6752553762724819,0.5899581589958159,0.7238493723849372,0.7740585774058577
record_04,candidate_oracle,239,0.9205020920502092,0.9205020920502092,0.9205020920502092,0.9205020920502092
record_05,type_aware,227,0.6353870416147331,0.5462555066079295,0.6828193832599119,0.73568281938326
record_05,intrinsic_reranker_loco,227,0.6852433642689845,0.5859030837004405,0.7665198237885462,0.8237885462555066
record_05,candidate_oracle,227,0.9118942731277533,0.9118942731277533,0.9118942731277533,0.9118942731277533
record_06,type_aware,148,0.5829356576208732,0.47297297297297297,0.6418918918918919,0.722972972972973
record_06,intrinsic_reranker_loco,148,0.6505813658387187,0.5540540540540541,0.7162162162162162,0.777027027027027
record_06,candidate_oracle,148,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919
record_07,type_aware,175,0.6676211098786989,0.5485714285714286,0.7314285714285714,0.8
record_07,intrinsic_reranker_loco,175,0.7006359534367053,0.5771428571428572,0.8057142857142857,0.84
record_07,candidate_oracle,175,0.9542857142857143,0.9542857142857143,0.9542857142857143,0.9542857142857143
record_08,type_aware,228,0.5922589403118492,0.49122807017543857,0.6447368421052632,0.7105263157894737
record_08,intrinsic_reranker_loco,228,0.6372380514569288,0.5394736842105263,0.6885964912280702,0.7850877192982456
record_08,candidate_oracle,228,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9122807017543859
record_09,type_aware,183,0.6300201782965429,0.5300546448087432,0.6830601092896175,0.7486338797814208
record_09,intrinsic_reranker_loco,183,0.6627073670106457,0.5519125683060109,0.7377049180327869,0.8087431693989071
record_09,candidate_oracle,183,0.912568306010929,0.912568306010929,0.912568306010929,0.912568306010929
record_10,type_aware,195,0.5865072985191121,0.4666666666666667,0.6666666666666666,0.7435897435897436
record_10,intrinsic_reranker_loco,195,0.6654818258664412,0.5487179487179488,0.7692307692307693,0.8051282051282052
record_10,candidate_oracle,195,0.882051282051282,0.882051282051282,0.882051282051282,0.882051282051282
