metric,baseline,candidate,num_queries,baseline_mean,candidate_mean,mean_delta,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,improved_queries,worsened_queries,tied_queries
mrr,type_aware,type3_specific_reranker,126,0.4321334970144494,0.3959096779406719,-0.036223819073777516,-0.07053172589255444,-0.0001694084496732658,0.04599080183963208,23,36,67
recall@1,type_aware,type3_specific_reranker,126,0.3412698412698413,0.30952380952380953,-0.031746031746031744,-0.0873015873015873,0.023809523809523808,0.3945210957808438,4,8,114
recall@3,type_aware,type3_specific_reranker,126,0.5079365079365079,0.4126984126984127,-0.09523809523809523,-0.15873015873015872,-0.031746031746031744,0.007198560287942412,3,15,108
recall@5,type_aware,type3_specific_reranker,126,0.5476190476190477,0.46825396825396826,-0.07936507936507936,-0.14285714285714285,-0.023809523809523808,0.025994801039792043,3,13,110
