feature,splits,importance_mean,importance_stdev,model
type_aware_score,5,0.07840818071971781,0.004128113567520247,global_candidate_reranker
time_aware_rr,5,0.07756668117403241,0.008288917772054595,global_candidate_reranker
semantic_score,5,0.077103870707009,0.001369913754564434,global_candidate_reranker
time_aware_score,5,0.07617933567987079,0.003981155874834387,global_candidate_reranker
hybrid_score,5,0.07502480651261635,0.0037185187705472272,global_candidate_reranker
type_aware_rr,5,0.07042068601904894,0.004461723457191118,global_candidate_reranker
hybrid_rr,5,0.06477155501913451,0.003256647190502239,global_candidate_reranker
vector_rr,5,0.06104820308308732,0.001124770362971225,global_candidate_reranker
vector_score,5,0.05645411374780497,0.001458857915925136,global_candidate_reranker
time_decay,5,0.05181043600269404,0.002030489849016805,global_candidate_reranker
semantic_x_keyword,5,0.03951470150568431,0.001709980762912348,global_candidate_reranker
query_type=1,5,0.030209143039085905,0.001643661596771923,global_candidate_reranker
keyword_score,5,0.02638998054715352,0.00041309706890701173,global_candidate_reranker
keyword_rr,5,0.023208304918614576,0.0008079585995449058,global_candidate_reranker
entity_score,5,0.019458865212258484,0.001689167587399434,global_candidate_reranker
importance_score,5,0.0173202015829149,0.0003115687766063684,global_candidate_reranker
query_type=4,5,0.014717561317168235,0.0007211501898473372,global_candidate_reranker
type_aware_present,5,0.011085992338575984,0.0017682761401484378,global_candidate_reranker
persona_x_type,5,0.010026938242738922,0.00023230428643469084,global_candidate_reranker
vector_present,5,0.009410999379561262,0.0008436355583221709,global_candidate_reranker
time_aware_present,5,0.009398803529712707,0.0012450770546622654,global_candidate_reranker
persona_weight,5,0.00921243596961775,0.0007914639898021119,global_candidate_reranker
persona_score,5,0.009197047494569302,0.00035529047521339193,global_candidate_reranker
memory_type_score,5,0.008915081307430373,0.0005091061338874716,global_candidate_reranker
query_type=5,5,0.008859585674186708,0.000842408557786297,global_candidate_reranker
memory_type=event,5,0.006501308313881272,0.00026535256687080404,global_candidate_reranker
query_type=3,5,0.005316678317565196,0.0007979993897342748,global_candidate_reranker
query_type=2,5,0.00503166069924032,0.00028121448928367657,global_candidate_reranker
memory_type=goal,5,0.0047470393457817155,0.00024505352077341166,global_candidate_reranker
hybrid_present,5,0.004472932657064544,0.000598718362154199,global_candidate_reranker
semantic_score,5,0.13649652146769478,0.014982678823982248,type3_specific_reranker
vector_score,5,0.08875237666364849,0.007641200653412712,type3_specific_reranker
time_aware_score,5,0.08580041383633565,0.009605014804457253,type3_specific_reranker
type_aware_score,5,0.0802160266562028,0.008407570676423334,type3_specific_reranker
type_aware_rr,5,0.06208054942252152,0.009405905720680218,type3_specific_reranker
hybrid_score,5,0.061302634733834016,0.0027652919432538106,type3_specific_reranker
time_aware_rr,5,0.06121809376483874,0.007247808429566055,type3_specific_reranker
vector_rr,5,0.057347276217500354,0.009123203368499143,type3_specific_reranker
hybrid_rr,5,0.046573929191003845,0.004833856110330326,type3_specific_reranker
time_decay,5,0.04489651587122961,0.0063167868179865114,type3_specific_reranker
entity_score,5,0.031746909419562576,0.003388029809714672,type3_specific_reranker
importance_score,5,0.028444912793078286,0.004305071933082395,type3_specific_reranker
keyword_rr,5,0.024423421105349036,0.003476798250305434,type3_specific_reranker
keyword_score,5,0.02417218291577053,0.0035191281269981076,type3_specific_reranker
semantic_x_keyword,5,0.02369333585103141,0.0021386209077380136,type3_specific_reranker
persona_score,5,0.018287323884449133,0.006772412048631044,type3_specific_reranker
vector_present,5,0.01196963474485331,0.002152320846989291,type3_specific_reranker
memory_type_score,5,0.01131827230144943,0.0021455740636896364,type3_specific_reranker
persona_x_type,5,0.010417735577363436,0.002481948236624951,type3_specific_reranker
type_aware_present,5,0.009317109362656308,0.0027264316349449964,type3_specific_reranker
memory_type=goal,5,0.00901642167309443,0.0020875918398783454,type3_specific_reranker
time_aware_present,5,0.008923395446701905,0.0031448485111896076,type3_specific_reranker
keyword_present,5,0.008475545682556927,0.0018728972728551225,type3_specific_reranker
hybrid_present,5,0.008211277094179984,0.001107126245442575,type3_specific_reranker
memory_type=event,5,0.006453033971487583,0.0018718681062064007,type3_specific_reranker
memory_type=preference,5,0.006414551468834638,0.001026683863095734,type3_specific_reranker
memory_type=work,5,0.006287407835480836,0.00145968827599602,type3_specific_reranker
memory_type=plan,5,0.00546138499374992,0.001223246478767279,type3_specific_reranker
memory_type=hobby,5,0.004174578197000462,0.00033497435574880165,type3_specific_reranker
memory_type=relationship,5,0.0040576191251173125,0.0010061121960328197,type3_specific_reranker
