candidate_limit,num_queries,num_memories,avg_candidates,rerank_seconds,rerank_milliseconds_per_query
50,1838,2517,50.0,3.7324903330000003,2.0307346751904243
100,1838,2517,100.0,5.794608125000001,3.1526703618063117
200,1838,2517,200.0,10.275654500000002,5.59067165397171
500,1838,2517,500.0,23.447272208000005,12.756948970620243
