variant,persona_boost_weight,persona_boost_query_types,recall@1,recall@3,recall@5,mrr
adaptive_time,0.00,,0.31017119838872104,0.473313192346425,0.5367573011077543,0.4180894337000699
persona_001,0.01,all,0.31319234642497484,0.4738167170191339,0.5372608257804632,0.42056127664815335
persona_002,0.02,all,0.3162134944612286,0.4738167170191339,0.5367573011077543,0.42239940811174576
persona_003,0.03,all,0.31772406847935547,0.47079556898288016,0.5382678751258811,0.4231330180945261
persona_004,0.04,all,0.3187311178247734,0.47129909365558914,0.5372608257804632,0.42338313857522464
persona_004_types_1_4,0.04,"1,2,3,4",0.32124874118831825,0.4838872104733132,0.5427995971802618,0.4288801668516524
