candidate_limit,method,num_queries,mrr,recall@1,recall@3,recall@5
50,hybrid,1838,0.5638346259818524,0.46517954298150166,0.6251360174102285,0.6795429815016322
50,keyword,1838,0.5155480445702888,0.40805223068552776,0.5848748639825898,0.6354733405875952
50,time_aware,1838,0.5760918640596302,0.4782372143634385,0.6381936887921654,0.691512513601741
50,type_aware,1838,0.578909859782664,0.4820457018498368,0.6392818280739935,0.6947769314472253
100,hybrid,1838,0.5840420001027513,0.47986942328618065,0.6479869423286181,0.7083786724700761
100,keyword,1838,0.5195115407934634,0.41077257889009794,0.5778019586507073,0.6479869423286181
100,time_aware,1838,0.5971318701441445,0.49510337323177367,0.6621327529923831,0.720348204570185
100,type_aware,1838,0.6004633812310554,0.49782372143634385,0.6670293797606094,0.7236126224156693
200,hybrid,1838,0.5893527376157957,0.4842219804134929,0.6572361262241567,0.7132752992383025
200,keyword,1838,0.4946193497245364,0.38737758433079433,0.5429815016322089,0.6207834602829162
200,time_aware,1838,0.6075712043709671,0.5021762785636561,0.6795429815016322,0.7317736670293797
200,type_aware,1838,0.6125425465573625,0.5087051142546246,0.6817192600652884,0.733949945593036
500,hybrid,1838,0.5848175618012125,0.47606093579978237,0.6545157780195865,0.7116430903155604
500,keyword,1838,0.4944749967091052,0.3895538628944505,0.5495103373231773,0.6055495103373232
500,time_aware,1838,0.6080578539048977,0.5021762785636561,0.6741022850924918,0.7323177366702938
500,type_aware,1838,0.6115949856331604,0.5065288356909684,0.6746463547334058,0.7366702937976061
