method,rows,mean_pool_size,mean_gold,multi_evidence_share,missing_all_gold_share,any_hit@5,coverage_ratio@5,full_coverage@5,any_hit@20,coverage_ratio@20,full_coverage@20,any_hit@50,coverage_ratio@50,full_coverage@50,any_hit@100,coverage_ratio@100,full_coverage@100
candidate20_plus_facet100,126,98.91269841269842,2.6507936507936507,0.6746031746031746,0.16666666666666666,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.8174603174603174,0.6577108621226269,0.49206349206349204,0.8333333333333334,0.6939140471003216,0.5555555555555556
candidate20_plus_facet20,126,31.793650793650794,2.6507936507936507,0.6746031746031746,0.23015873015873015,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.7698412698412699,0.6285403050108932,0.47619047619047616,0.7698412698412699,0.6285403050108932,0.47619047619047616
candidate20_plus_facet50,126,57.27777777777778,2.6507936507936507,0.6746031746031746,0.18253968253968253,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.8174603174603174,0.6577108621226269,0.49206349206349204,0.8174603174603174,0.6635309679427327,0.5158730158730159
candidate20_plus_offline100,126,104.61111111111111,2.6507936507936507,0.6746031746031746,0.18253968253968253,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.7936507936507936,0.6572595704948646,0.49206349206349204,0.8174603174603174,0.7085537918871252,0.5793650793650794
candidate20_plus_offline100_facet100,126,138.86507936507937,2.6507936507936507,0.6746031746031746,0.18253968253968253,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.7936507936507936,0.6572595704948646,0.49206349206349204,0.8174603174603174,0.7085537918871252,0.5793650793650794
candidate20_plus_offline20,126,31.547619047619047,2.6507936507936507,0.6746031746031746,0.23809523809523808,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.7619047619047619,0.6232933914306463,0.47619047619047616,0.7619047619047619,0.6232933914306463,0.47619047619047616
candidate20_plus_offline20_facet20,126,39.285714285714285,2.6507936507936507,0.6746031746031746,0.21428571428571427,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.7857142857142857,0.6463974478680361,0.5,0.7857142857142857,0.6463974478680361,0.5
candidate20_plus_offline50,126,57.57142857142857,2.6507936507936507,0.6746031746031746,0.19047619047619047,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.7936507936507936,0.6572595704948646,0.49206349206349204,0.8095238095238095,0.6677754435107376,0.5
candidate20_plus_offline50_facet50,126,80.15873015873017,2.6507936507936507,0.6746031746031746,0.15079365079365079,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.7936507936507936,0.6572595704948646,0.49206349206349204,0.8492063492063492,0.7040188297541239,0.5555555555555556
candidate_top100,126,20,2.6507936507936507,0.6746031746031746,0.25396825396825395,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.746031746031746,0.5970795725697686,0.4444444444444444,0.746031746031746,0.5970795725697686,0.4444444444444444
candidate_top20,126,20,2.6507936507936507,0.6746031746031746,0.25396825396825395,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.746031746031746,0.5970795725697686,0.4444444444444444,0.746031746031746,0.5970795725697686,0.4444444444444444
candidate_top50,126,20,2.6507936507936507,0.6746031746031746,0.25396825396825395,0.49206349206349204,0.3724426807760141,0.2619047619047619,0.746031746031746,0.5970795725697686,0.4444444444444444,0.746031746031746,0.5970795725697686,0.4444444444444444,0.746031746031746,0.5970795725697686,0.4444444444444444
facet_top100,126,93.83333333333333,2.6507936507936507,0.6746031746031746,0.2698412698412698,0.3253968253968254,0.20390600684718332,0.11904761904761904,0.5793650793650794,0.3897097727980081,0.24603174603174602,0.6746031746031746,0.4847533457827575,0.31746031746031744,0.7301587301587301,0.5601138603589584,0.3888888888888889
facet_top20,126,20,2.6507936507936507,0.6746031746031746,0.42063492063492064,0.3253968253968254,0.20390600684718332,0.11904761904761904,0.5793650793650794,0.3897097727980081,0.24603174603174602,0.5793650793650794,0.3897097727980081,0.24603174603174602,0.5793650793650794,0.3897097727980081,0.24603174603174602
facet_top50,126,50,2.6507936507936507,0.6746031746031746,0.3253968253968254,0.3253968253968254,0.20390600684718332,0.11904761904761904,0.5793650793650794,0.3897097727980081,0.24603174603174602,0.6746031746031746,0.4847533457827575,0.31746031746031744,0.6746031746031746,0.4847533457827575,0.31746031746031744
offline_top100,126,100,2.6507936507936507,0.6746031746031746,0.23015873015873015,0.4126984126984127,0.24546244423695404,0.1349206349206349,0.5793650793650794,0.4027129370266625,0.24603174603174602,0.7063492063492064,0.528688141923436,0.3412698412698413,0.7698412698412699,0.6394400352733686,0.48412698412698413
offline_top20,126,20,2.6507936507936507,0.6746031746031746,0.42063492063492064,0.4126984126984127,0.24546244423695404,0.1349206349206349,0.5793650793650794,0.4027129370266625,0.24603174603174602,0.5793650793650794,0.4027129370266625,0.24603174603174602,0.5793650793650794,0.4027129370266625,0.24603174603174602
offline_top50,126,50,2.6507936507936507,0.6746031746031746,0.29365079365079366,0.4126984126984127,0.24546244423695404,0.1349206349206349,0.5793650793650794,0.4027129370266625,0.24603174603174602,0.7063492063492064,0.528688141923436,0.3412698412698413,0.7063492063492064,0.528688141923436,0.3412698412698413
