candidate_limit,method,num_queries,mrr,recall@1,recall@3,recall@5
50,hybrid,1838,0.5636544348578059,0.4646354733405876,0.6251360174102285,0.6795429815016322
50,keyword,1838,0.515478027644827,0.4085963003264418,0.5843307943416758,0.6349292709466812
50,time_aware,1838,0.5760930017733805,0.4782372143634385,0.6381936887921654,0.691512513601741
50,type_aware,1838,0.5787976496545572,0.4820457018498368,0.6387377584330794,0.6942328618063112
100,hybrid,1838,0.58395207427635,0.47932535364526657,0.6479869423286181,0.7083786724700761
100,keyword,1838,0.5196325834554201,0.41131664853101196,0.5788900979325353,0.6485310119695321
100,time_aware,1838,0.5969964789136522,0.49455930359085964,0.6626768226332971,0.720348204570185
100,type_aware,1838,0.600327836308574,0.4972796517954298,0.6675734494015234,0.7236126224156693
200,hybrid,1838,0.5893177278268069,0.4842219804134929,0.6566920565832427,0.7127312295973884
200,keyword,1838,0.49467740134194593,0.38792165397170836,0.5413492927094669,0.6207834602829162
200,time_aware,1838,0.6075490633684341,0.5021762785636561,0.6789989118607181,0.7312295973884657
200,type_aware,1838,0.6125203494767383,0.5087051142546246,0.6811751904243744,0.7334058759521219
500,hybrid,1838,0.584701592658483,0.47606093579978237,0.6539717083786725,0.7110990206746464
500,keyword,1838,0.4939403030126533,0.38900979325353646,0.5495103373231773,0.6055495103373232
500,time_aware,1838,0.6079418051714955,0.5021762785636561,0.6735582154515778,0.7317736670293797
500,type_aware,1838,0.6114789368997583,0.5065288356909684,0.6741022850924918,0.736126224156692
