split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5
record_01,type_aware,176,0.5909092381096089,0.48295454545454547,0.6590909090909091,0.7215909090909091
record_01,candidate_reranker_loco,176,0.6423186470470456,0.5397727272727273,0.7045454545454546,0.8011363636363636
record_01,candidate_oracle,176,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
record_02,type_aware,94,0.5765103987861724,0.48936170212765956,0.6276595744680851,0.6702127659574468
record_02,candidate_reranker_loco,94,0.6009315476007338,0.5106382978723404,0.6595744680851063,0.7127659574468085
record_02,candidate_oracle,94,0.8829787234042553,0.8829787234042553,0.8829787234042553,0.8829787234042553
record_03,type_aware,173,0.6327424355646654,0.5202312138728323,0.7109826589595376,0.7687861271676301
record_03,candidate_reranker_loco,173,0.6882905209931587,0.5895953757225434,0.7514450867052023,0.8034682080924855
record_03,candidate_oracle,173,0.930635838150289,0.930635838150289,0.930635838150289,0.930635838150289
record_04,type_aware,239,0.5872557905614747,0.4769874476987448,0.6443514644351465,0.698744769874477
record_04,candidate_reranker_loco,239,0.6433246904260551,0.5397489539748954,0.7071129707112971,0.7615062761506276
record_04,candidate_oracle,239,0.9205020920502092,0.9205020920502092,0.9205020920502092,0.9205020920502092
record_05,type_aware,227,0.6353870416147331,0.5462555066079295,0.6828193832599119,0.73568281938326
record_05,candidate_reranker_loco,227,0.6961319148788276,0.6035242290748899,0.762114537444934,0.8061674008810573
record_05,candidate_oracle,227,0.9118942731277533,0.9118942731277533,0.9118942731277533,0.9118942731277533
record_06,type_aware,148,0.5829356576208732,0.47297297297297297,0.6418918918918919,0.722972972972973
record_06,candidate_reranker_loco,148,0.6256002256002255,0.527027027027027,0.6824324324324325,0.7162162162162162
record_06,candidate_oracle,148,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8918918918918919
record_07,type_aware,175,0.6676211098786989,0.5485714285714286,0.7314285714285714,0.8
record_07,candidate_reranker_loco,175,0.7118944149386298,0.6,0.7828571428571428,0.8457142857142858
record_07,candidate_oracle,175,0.9542857142857143,0.9542857142857143,0.9542857142857143,0.9542857142857143
record_08,type_aware,228,0.5922589403118492,0.49122807017543857,0.6447368421052632,0.7105263157894737
record_08,candidate_reranker_loco,228,0.639878358228887,0.5394736842105263,0.7017543859649122,0.7719298245614035
record_08,candidate_oracle,228,0.9122807017543859,0.9122807017543859,0.9122807017543859,0.9122807017543859
record_09,type_aware,183,0.6300201782965429,0.5300546448087432,0.6830601092896175,0.7486338797814208
record_09,candidate_reranker_loco,183,0.6773117592789724,0.5846994535519126,0.7377049180327869,0.7868852459016393
record_09,candidate_oracle,183,0.912568306010929,0.912568306010929,0.912568306010929,0.912568306010929
record_10,type_aware,195,0.5865072985191121,0.4666666666666667,0.6666666666666666,0.7435897435897436
record_10,candidate_reranker_loco,195,0.6425019176972023,0.5333333333333333,0.7128205128205128,0.8102564102564103
record_10,candidate_oracle,195,0.882051282051282,0.882051282051282,0.882051282051282,0.882051282051282
