variant,method,num_queries,mrr,recall@1,recall@3,recall@5
llm_extracted_fact,keyword,1838,0.5256531216398505,0.4281828073993471,0.5805223068552775,0.6343852013057671
llm_extracted_fact,vector,1838,0.5265473512132081,0.41947769314472255,0.5848748639825898,0.6430903155603918
llm_extracted_fact,hybrid,1838,0.5833580397513851,0.4766050054406964,0.6474428726877041,0.705114254624592
llm_extracted_fact,time_aware,1838,0.6051718344286686,0.499455930359086,0.6681175190424374,0.7268770402611534
llm_extracted_fact,type_aware,1838,0.6093848002850233,0.5032644178454843,0.6702937976060935,0.7334058759521219
locomo_observation,keyword,1638,0.49733962859173786,0.40231990231990233,0.5500610500610501,0.605006105006105
locomo_observation,vector,1638,0.5665034536762527,0.4713064713064713,0.6245421245421245,0.6788766788766789
locomo_observation,hybrid,1638,0.5653981168393558,0.4652014652014652,0.6251526251526252,0.6746031746031746
locomo_observation,time_aware,1638,0.5829529834091544,0.4829059829059829,0.6385836385836385,0.7032967032967034
locomo_observation,type_aware,1638,0.5829529834091544,0.4829059829059829,0.6385836385836385,0.7032967032967034
