metric,baseline,candidate,num_queries,baseline_mean,candidate_mean,mean_delta,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,improved_queries,worsened_queries,tied_queries
mrr,type_aware,supervised_set_selector,126,0.4321334970144494,0.38657753850993504,-0.04555595850451436,-0.08925377858090074,-0.0017202619382221203,0.03659268146370726,25,35,66
recall@1,type_aware,supervised_set_selector,126,0.3412698412698413,0.30952380952380953,-0.031746031746031744,-0.0873015873015873,0.023809523809523808,0.3789242151569686,4,8,114
recall@3,type_aware,supervised_set_selector,126,0.5079365079365079,0.3888888888888889,-0.11904761904761904,-0.19047619047619047,-0.047619047619047616,0.003799240151969606,4,19,103
recall@5,type_aware,supervised_set_selector,126,0.5476190476190477,0.48412698412698413,-0.06349206349206349,-0.1349206349206349,0.007936507936507936,0.14097180563887224,7,15,104
