query_type,method,num_rows,mean_gold,multi_evidence_share,any_hit@1,full_coverage@1,coverage_ratio@1,any_hit@3,full_coverage@3,coverage_ratio@3,any_hit@5,full_coverage@5,coverage_ratio@5,any_hit@10,full_coverage@10,coverage_ratio@10,any_hit@20,full_coverage@20,coverage_ratio@20
1,candidate_reranker,413,4.0556900726392255,0.9297820823244553,0.4043583535108959,0.009685230024213076,0.127873948757726,0.6053268765133172,0.06537530266343826,0.2661431855741783,0.7070217917675545,0.1016949152542373,0.35215471910387164,0.8305084745762712,0.16464891041162227,0.4842085678647422,0.8958837772397095,0.28329297820823246,0.625286329220954
1,type_aware,413,4.0556900726392255,0.9297820823244553,0.3728813559322034,0.009685230024213076,0.11982633320405717,0.5641646489104116,0.04600484261501211,0.23132867939163337,0.6610169491525424,0.0774818401937046,0.30918271263307584,0.7820823244552058,0.15254237288135594,0.4244977446551296,0.8595641646489104,0.22276029055690072,0.539206314266847
2,candidate_reranker,466,1.5600858369098713,0.39914163090128757,0.6609442060085837,0.37124463519313305,0.49928469241773965,0.8497854077253219,0.5858369098712446,0.7129828326180258,0.8948497854077253,0.6695278969957081,0.7805793991416309,0.9356223175965666,0.740343347639485,0.8412017167381974,0.9613733905579399,0.7896995708154506,0.8851931330472103
2,type_aware,466,1.5600858369098713,0.39914163090128757,0.6137339055793991,0.34120171673819744,0.46065808297567956,0.796137339055794,0.5257510729613734,0.6568311874105865,0.8326180257510729,0.5901287553648069,0.7065450643776824,0.8841201716738197,0.6845493562231759,0.7861230329041488,0.9227467811158798,0.7532188841201717,0.8447782546494993
3,candidate_reranker,126,2.6507936507936507,0.6746031746031746,0.3492063492063492,0.07936507936507936,0.1818783068783069,0.42857142857142855,0.1984126984126984,0.316005291005291,0.49206349206349204,0.2619047619047619,0.3724426807760141,0.626984126984127,0.3253968253968254,0.4617582218072414,0.746031746031746,0.4444444444444444,0.5970795725697686
3,type_aware,126,2.6507936507936507,0.6746031746031746,0.3412698412698413,0.06349206349206349,0.16732804232804233,0.5079365079365079,0.19047619047619047,0.3316798941798942,0.5476190476190477,0.23015873015873015,0.37747302624753604,0.6190476190476191,0.31746031746031744,0.4588520593422554,0.6746031746031746,0.373015873015873,0.5259531590413943
4,candidate_reranker,1096,1.4397810218978102,0.3403284671532847,0.6177007299270073,0.38047445255474455,0.48862530413625305,0.7864963503649635,0.5684306569343066,0.6771289537712896,0.8458029197080292,0.6395985401459854,0.7442518248175183,0.9041970802919708,0.7226277372262774,0.8175638686131387,0.9443430656934306,0.7928832116788321,0.8737682481751825
4,type_aware,1096,1.4397810218978102,0.3403284671532847,0.5611313868613139,0.3476277372262774,0.4461526763990268,0.7171532846715328,0.5045620437956204,0.6090328467153284,0.7928832116788321,0.5866788321167883,0.6877737226277372,0.8613138686131386,0.6715328467153284,0.767396593673966,0.9233576642335767,0.7518248175182481,0.8425182481751825
5,candidate_reranker,659,1.5022761760242793,0.3535660091047041,0.5128983308042488,0.33839150227617604,0.4148204350025291,0.6965098634294385,0.48710166919575115,0.5855336368234699,0.7556904400606981,0.5553869499241275,0.652250885179565,0.7814871016691958,0.590288315629742,0.6842690945877592,0.7996965098634294,0.6145675265553869,0.7076378351036925
5,type_aware,659,1.5022761760242793,0.3535660091047041,0.4233687405159332,0.27921092564491656,0.34046535154274155,0.5978755690440061,0.41122913505311076,0.4979261507334345,0.644916540212443,0.47040971168437024,0.552250885179565,0.708649468892261,0.5402124430955993,0.6205361659079414,0.7678300455235205,0.5796661608497724,0.6698533131006575
