metric,baseline_mean,candidate_mean,delta
mrr,0.608214808926373,0.6638026458848906,0.055587836958517545
recall@1,0.5025284198956962,0.5586344888864978,0.056106068990801616
recall@3,0.66926880715956,0.741820589410436,0.072551782250876
recall@5,0.7320740303607334,0.7968899014127238,0.06481587105199038
