num_queries,recall@1,recall@3,recall@5,mrr,semantic_weight,keyword_weight,entity_weight,recency_weight,gate_mode
1986,0.31017119838872104,0.473313192346425,0.5367573011077543,0.4158533036302806,0.7,0.3,0.0,0.08,recency
1986,0.31017119838872104,0.472809667673716,0.5357502517623364,0.4153759369177575,0.7,0.3,0.0,0.1,recency
1986,0.30966767371601206,0.47230614300100704,0.5377643504531722,0.41574108306491364,0.7,0.3,0.0,0.04,recency
1986,0.30966767371601206,0.47230614300100704,0.5382678751258811,0.41573986141241676,0.7,0.3,0.0,0.02,recency
1986,0.30966767371601206,0.473313192346425,0.5377643504531722,0.4156455113259029,0.7,0.3,0.0,0.06,recency
1986,0.30966767371601206,0.47129909365558914,0.5387713997985901,0.4153162553293168,0.7,0.3,0.0,0.02,type4_5
1986,0.30916414904330314,0.47230614300100704,0.5422960725075529,0.41737036271175265,0.75,0.25,0.0,0.02,type4_5
1986,0.30916414904330314,0.4743202416918429,0.5392749244712991,0.41557792451498504,0.7,0.3,0.0,0.01,type4_5
1986,0.30866062437059416,0.472809667673716,0.5417925478348439,0.41762182795819325,0.75,0.25,0.0,0.02,recency
1986,0.30866062437059416,0.473313192346425,0.5382678751258811,0.4153545131080749,0.7,0.3,0.0,0.06,type2_recency
1986,0.30866062437059416,0.473313192346425,0.5382678751258811,0.4153545131080749,0.7,0.3,0.0,0.08,type2_recency
1986,0.30866062437059416,0.473313192346425,0.5382678751258811,0.4153545131080749,0.7,0.3,0.0,0.1,type2_recency
1986,0.30866062437059416,0.473313192346425,0.5382678751258811,0.415353423227831,0.7,0.3,0.0,0.02,type2_recency
1986,0.30866062437059416,0.473313192346425,0.5382678751258811,0.4153524281197822,0.7,0.3,0.0,0.04,type2_recency
1986,0.30866062437059416,0.473313192346425,0.5382678751258811,0.41533469988495764,0.7,0.3,0.0,0.01,recency
1986,0.30866062437059416,0.473313192346425,0.5382678751258811,0.4153293368744395,0.7,0.3,0.0,0.01,type2_recency
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,-0.1,none
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,-0.05,none
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,-0.02,none
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.0,none
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.0,all
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.0,recency
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.0,type2_recency
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.0,nonwhen
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.0,type4_5
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.01,none
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.02,none
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.04,none
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.06,none
1986,0.30866062437059416,0.473313192346425,0.5377643504531722,0.4153125527186825,0.7,0.3,0.0,0.08,none
