train_fraction,method,seeds,mrr_delta_mean,mrr_delta_stdev,mrr_delta_min,mrr_delta_max,mrr_positive_seeds,mrr_tied_seeds,mrr_negative_seeds,mrr_win_rate,recall@5_delta_mean,recall@5_delta_stdev,recall@5_delta_min,recall@5_delta_max
0.5,ablation_full,10,0.05076783375295044,0.007167158309556626,0.040044088345897344,0.06233570214654216,10,0,0,1.0,0.05027203482045702,0.010757363505059004,0.030467899891186034,0.06528835690968449
0.5,ablation_intrinsic_only,10,0.05983594347823955,0.006900449304139854,0.05005828211940433,0.07045295010624153,10,0,0,1.0,0.06224156692056584,0.009702829497786137,0.043525571273122954,0.07290533188248105
0.6,ablation_full,10,0.051836729332903356,0.00812618396603504,0.04266609696194512,0.066943093211837,10,0,0,1.0,0.05353260869565216,0.01023189945394418,0.03940217391304346,0.06793478260869568
0.6,ablation_intrinsic_only,10,0.06041483628900968,0.0044560269664159075,0.05008146933625568,0.06713715941415721,10,0,0,1.0,0.06086956521739132,0.011255235193484849,0.04347826086956519,0.07744565217391308
0.7,ablation_full,10,0.054671713376093646,0.010511018599525888,0.037327518726886555,0.07113920709574906,10,0,0,1.0,0.055797101449275355,0.012251163915860643,0.04166666666666663,0.07608695652173914
0.7,ablation_intrinsic_only,10,0.05837985033387637,0.010608226837177466,0.041393908437331706,0.07462230193673158,10,0,0,1.0,0.06449275362318839,0.010500997642166249,0.047101449275362306,0.0815217391304347
0.8,ablation_full,10,0.05741268780994552,0.010561324018551149,0.03942789831874849,0.07127128401734029,10,0,0,1.0,0.0638586956521739,0.020385466367621164,0.03804347826086962,0.09510869565217384
0.8,ablation_intrinsic_only,10,0.06441649148038588,0.009624267826584173,0.05128976560697196,0.08018435309958527,10,0,0,1.0,0.0703804347826087,0.01772448436896734,0.04347826086956519,0.08967391304347827
