split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5
13,type_aware,24,0.41909722222222223,0.3333333333333333,0.4583333333333333,0.5416666666666666
13,global_candidate_reranker,24,0.3954584358996124,0.3333333333333333,0.375,0.4583333333333333
13,type3_specific_reranker,24,0.38882976591309926,0.2916666666666667,0.4166666666666667,0.5
13,candidate_oracle,24,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666
17,type_aware,23,0.4355072463768116,0.34782608695652173,0.4782608695652174,0.5217391304347826
17,global_candidate_reranker,23,0.47126279517583863,0.391304347826087,0.5217391304347826,0.6086956521739131
17,type3_specific_reranker,23,0.45230370062177844,0.391304347826087,0.4782608695652174,0.5217391304347826
17,candidate_oracle,23,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174
23,type_aware,22,0.4731934731934732,0.4090909090909091,0.5454545454545454,0.5454545454545454
23,global_candidate_reranker,22,0.42799145299145297,0.36363636363636365,0.45454545454545453,0.5
23,type3_specific_reranker,22,0.4226281247601259,0.3181818181818182,0.45454545454545453,0.5454545454545454
23,candidate_oracle,22,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727
29,type_aware,29,0.44196895058964025,0.3448275862068966,0.5517241379310345,0.5517241379310345
29,global_candidate_reranker,29,0.43145563400100606,0.3793103448275862,0.41379310344827586,0.4482758620689655
29,type3_specific_reranker,29,0.3798258528393461,0.3103448275862069,0.3793103448275862,0.41379310344827586
29,candidate_oracle,29,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724
31,type_aware,28,0.3980880230880231,0.2857142857142857,0.5,0.5714285714285714
31,global_candidate_reranker,28,0.3781192022263451,0.2857142857142857,0.39285714285714285,0.4642857142857143
31,type3_specific_reranker,28,0.3513196945444845,0.25,0.35714285714285715,0.39285714285714285
31,candidate_oracle,28,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857
