candidate_limit,num_queries,num_memories,avg_candidates,rerank_seconds,rerank_milliseconds_per_query,candidate_pool_gold_recall,candidate_pool_answerable_queries
50,1838,2517,50.0,3.814789792000001,2.0755113122959745,0.8726877040261154,1838
100,1838,2517,100.0,5.991314750000001,3.2596924646354735,0.9287268770402611,1838
200,1838,2517,200.0,10.678457167,5.809824356365614,0.9662676822633297,1838
500,1838,2517,500.0,24.771458208,13.477398372143634,0.9804134929270947,1838
