variant,num_memories,memory_tokens,avg_tokens_per_memory,api_sessions,prompt_tokens,completion_tokens,total_tokens,input_price_per_million,output_price_per_million,estimated_api_cost
llm_extracted_fact,2517,31148,12.375049662296384,269,361103,198471,559574,0.0,0.0,0.0
locomo_observation,2507,40241,16.05145592341444,0,0,0,0,0.0,0.0,0.0
