batch_idx,items,prompt_tokens,completion_tokens,total_tokens
1,5,873,383,1256
2,5,874,401,1275
3,5,836,326,1162
4,5,936,438,1374
5,5,874,459,1333
6,5,923,419,1342
7,5,830,420,1250
8,5,844,497,1341
9,5,839,367,1206
10,5,835,405,1240
11,5,907,450,1357
12,5,937,375,1312
13,5,936,331,1267
14,5,845,488,1333
15,5,904,362,1266
16,5,895,463,1358
