method,seeds,mrr_delta_mean,mrr_delta_stdev,mrr_delta_min,mrr_delta_max,mrr_positive_seeds,mrr_tied_seeds,mrr_negative_seeds,mrr_win_rate,recall@5_delta_mean,recall@5_delta_stdev,recall@5_delta_min,recall@5_delta_max
ablation_intrinsic_only,20,0.060202704168605896,0.00980865558030594,0.041393908437331706,0.0775184142653359,20,0,0,1.0,0.06567028985507246,0.013618701790531014,0.047101449275362306,0.0905797101449275
ablation_full,20,0.05507434638941334,0.007678219238558009,0.037327518726886555,0.07113920709574906,20,0,0,1.0,0.05298913043478261,0.014586308924130102,0.018115942028985477,0.08152173913043481
