variant,query_type,method,num_queries,mrr,recall@1,recall@3,recall@5
llm_extracted_fact,1,hybrid,278,0.46914527920890986,0.3345323741007194,0.5467625899280576,0.6007194244604317
llm_extracted_fact,1,keyword,278,0.35114911778115454,0.24100719424460432,0.39568345323741005,0.4712230215827338
llm_extracted_fact,1,time_aware,278,0.49105127886906685,0.35611510791366907,0.5575539568345323,0.6330935251798561
llm_extracted_fact,1,type_aware,278,0.5044630314787985,0.37410071942446044,0.5611510791366906,0.6474820143884892
llm_extracted_fact,1,vector,278,0.5134058251703952,0.37050359712230213,0.5863309352517986,0.658273381294964
llm_extracted_fact,2,hybrid,310,0.7098379306171058,0.6225806451612903,0.7741935483870968,0.8096774193548387
llm_extracted_fact,2,keyword,310,0.61532188467735,0.5161290322580645,0.6741935483870968,0.7322580645161291
llm_extracted_fact,2,time_aware,310,0.7149289604622342,0.6258064516129033,0.7838709677419354,0.8161290322580645
llm_extracted_fact,2,type_aware,310,0.7226232328475968,0.632258064516129,0.7870967741935484,0.8258064516129032
llm_extracted_fact,2,vector,310,0.716762263537461,0.6290322580645161,0.7677419354838709,0.8193548387096774
llm_extracted_fact,3,hybrid,86,0.37232581158505895,0.2558139534883721,0.43023255813953487,0.5116279069767442
llm_extracted_fact,3,keyword,86,0.26518631617732336,0.1744186046511628,0.29069767441860467,0.32558139534883723
llm_extracted_fact,3,time_aware,86,0.4141786326057404,0.3023255813953488,0.47674418604651164,0.5465116279069767
llm_extracted_fact,3,type_aware,86,0.42911077516059865,0.32558139534883723,0.4883720930232558,0.5465116279069767
llm_extracted_fact,3,vector,86,0.35725534585823165,0.2558139534883721,0.3953488372093023,0.46511627906976744
llm_extracted_fact,4,hybrid,752,0.6571090326164093,0.5558510638297872,0.714095744680851,0.773936170212766
llm_extracted_fact,4,keyword,752,0.5768782741454761,0.48271276595744683,0.6316489361702128,0.6901595744680851
llm_extracted_fact,4,time_aware,752,0.6631136570470998,0.5585106382978723,0.723404255319149,0.7898936170212766
llm_extracted_fact,4,type_aware,752,0.6634421435440297,0.5571808510638298,0.7194148936170213,0.7938829787234043
llm_extracted_fact,4,vector,752,0.635895169272473,0.5172872340425532,0.7127659574468085,0.776595744680851
llm_extracted_fact,5,hybrid,412,0.474693977251969,0.3640776699029126,0.5436893203883495,0.6116504854368932
llm_extracted_fact,5,keyword,412,0.5368027020200431,0.441747572815534,0.6019417475728155,0.633495145631068
llm_extracted_fact,5,time_aware,412,0.5337008881249686,0.4344660194174757,0.5946601941747572,0.6456310679611651
llm_extracted_fact,5,type_aware,412,0.5339400955851696,0.4320388349514563,0.6043689320388349,0.6504854368932039
llm_extracted_fact,5,vector,412,0.22804316359025747,0.15048543689320387,0.2524271844660194,0.2936893203883495
locomo_observation,1,hybrid,272,0.43820541905221844,0.3088235294117647,0.48161764705882354,0.5588235294117647
locomo_observation,1,keyword,272,0.324149982267852,0.22058823529411764,0.36764705882352944,0.4411764705882353
locomo_observation,1,time_aware,272,0.4521635774932676,0.3272058823529412,0.4963235294117647,0.6176470588235294
locomo_observation,1,type_aware,272,0.4521635774932676,0.3272058823529412,0.4963235294117647,0.6176470588235294
locomo_observation,1,vector,272,0.5456958221512197,0.40808823529411764,0.6213235294117647,0.7205882352941176
locomo_observation,2,hybrid,280,0.6962604865834862,0.6178571428571429,0.7357142857142858,0.7857142857142857
locomo_observation,2,keyword,280,0.6012742226517577,0.5107142857142857,0.6571428571428571,0.7107142857142857
locomo_observation,2,time_aware,280,0.7030183164510337,0.625,0.7428571428571429,0.8035714285714286
locomo_observation,2,type_aware,280,0.7030183164510337,0.625,0.7428571428571429,0.8035714285714286
locomo_observation,2,vector,280,0.7644923268181841,0.6928571428571428,0.8142857142857143,0.8464285714285714
locomo_observation,3,hybrid,76,0.32890309139525503,0.23684210526315788,0.3684210526315789,0.40789473684210525
locomo_observation,3,keyword,76,0.24833472631178172,0.18421052631578946,0.23684210526315788,0.3157894736842105
locomo_observation,3,time_aware,76,0.3487862899121858,0.25,0.40789473684210525,0.42105263157894735
locomo_observation,3,type_aware,76,0.3487862899121858,0.25,0.40789473684210525,0.42105263157894735
locomo_observation,3,vector,76,0.3848521309963579,0.27631578947368424,0.42105263157894735,0.47368421052631576
locomo_observation,4,hybrid,654,0.6551492120495079,0.5474006116207951,0.7385321100917431,0.7859327217125383
locomo_observation,4,keyword,654,0.5662901576516136,0.46636085626911317,0.6299694189602446,0.6834862385321101
locomo_observation,4,time_aware,654,0.668380438755108,0.5626911314984709,0.7415902140672783,0.8012232415902141
locomo_observation,4,type_aware,654,0.668380438755108,0.5626911314984709,0.7415902140672783,0.8012232415902141
locomo_observation,4,vector,654,0.6831499950225116,0.5886850152905199,0.7507645259938838,0.8042813455657493
locomo_observation,5,hybrid,356,0.4452614762103026,0.36235955056179775,0.4943820224719101,0.5280898876404494
locomo_observation,5,keyword,356,0.4744087972192921,0.3848314606741573,0.5252808988764045,0.5646067415730337
locomo_observation,5,time_aware,356,0.48150224764205,0.39325842696629215,0.5252808988764045,0.5702247191011236
locomo_observation,5,type_aware,356,0.48150224764205,0.39325842696629215,0.5252808988764045,0.5702247191011236
locomo_observation,5,vector,356,0.25117045867144017,0.17134831460674158,0.2893258426966292,0.32865168539325845
