variant,num_memories,token_ratio_vs_raw,evidence_coverage,recall@1,recall@3,recall@5,mrr
raw_turn,5882,1.0,1.0,0.3288016112789527,0.49244712990936557,0.5619335347432024,0.4388878503509241
observation,2541,0.28060986004564326,0.7847246891651865,0.3997985901309164,0.5317220543806647,0.5850956696878147,0.48389215448973705
session_summary,272,0.20107784101844978,0.9968028419182948,0.5196374622356495,0.6953675730110775,0.7729103726082578,0.6364805363862804
