label,model,base_url,dimensions,method,status,postrun_pass,summary_exists,summary_method_exists,summary_metrics_ok,result_files_ok,comparison_completed,existing_result_files,missing_result_files,summary_path
OpenAI text-embedding-3-small,text-embedding-3-small,https://api.openai.com/v1,0,type_aware,pending_api_run,False,False,False,False,False,False,,summary.csv;summary_by_type.csv;per_query_metrics.csv;rankings.csv,work/agent_memory_experiment/results/llm_extracted_locomo10_all_v3_answerable_openai_text_embedding_3_small_type_004/summary.csv
Generic OpenAI-compatible embedding,provider_embedding_model,https://provider.example/v1,0,type_aware,pending_api_run,False,False,False,False,False,False,,summary.csv;summary_by_type.csv;per_query_metrics.csv;rankings.csv,work/agent_memory_experiment/results/llm_extracted_locomo10_all_v3_answerable_provider_embedding_model_type_004/summary.csv
