split,samples,completed,pending,html,source_csv
priority20,20,0,20,outputs/agent_memory_human_audit_priority20_annotation.html,outputs/agent_memory_human_audit_priority20_blind_review.csv
full80,80,0,80,outputs/agent_memory_human_audit_full80_annotation.html,outputs/agent_memory_human_audit_full80_blind_review.csv
