baseline,method,delta_mrr,delta_recall@5,delta_coverage_ratio@5,delta_full_coverage@5,delta_coverage_ratio@100,delta_full_coverage@100
candidate20_then_expansion,expanded_pool_oracle_top5,0.4441298945338716,0.3730158730158731,0.34545336653179787,0.30158730158730157,-0.002334267040149385,0.0
candidate20_then_expansion,learned_expanded_selector,-7.106955528046743e-05,0.0,0.0,0.0,0.0,0.0
