package,version
numpy,2.0.2
scikit-learn,1.6.1
scipy,1.13.1
sentence-transformers,5.1.2
transformers,4.57.6
torch,2.8.0
faiss-cpu,1.13.0
huggingface-hub,0.36.2
tokenizers,0.22.2
