metric,baseline,candidate,num_queries,baseline_mean,candidate_mean,mean_delta,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,improved_queries,worsened_queries,tied_queries
mrr,type_aware,type_aware_plus_decomposition,86,0.42911077516059865,0.3423899152178059,-0.08672085994279276,-0.1376106489703448,-0.04422867293274563,0.0001999600079984003,17,40,29
recall@1,type_aware,type_aware_plus_decomposition,86,0.32558139534883723,0.19767441860465115,-0.12790697674418605,-0.19767441860465115,-0.05813953488372093,0.0009998000399920016,0,11,75
recall@3,type_aware,type_aware_plus_decomposition,86,0.4883720930232558,0.4418604651162791,-0.046511627906976744,-0.11627906976744186,0.011627906976744186,0.28174365126974604,2,6,78
recall@5,type_aware,type_aware_plus_decomposition,86,0.5465116279069767,0.5116279069767442,-0.03488372093023256,-0.09302325581395349,0.011627906976744186,0.3789242151569686,1,4,81
