method,num_queries,mrr,recall@1,recall@3,recall@5
hybrid,1838,0.5833580397513851,0.4766050054406964,0.6474428726877041,0.705114254624592
keyword,1838,0.5256531216398505,0.4281828073993471,0.5805223068552775,0.6343852013057671
time_aware,1838,0.6051718344286686,0.499455930359086,0.6681175190424374,0.7268770402611534
type_aware,1838,0.6093848002850233,0.5032644178454843,0.6702937976060935,0.7334058759521219
vector,1838,0.5265473512132081,0.41947769314472255,0.5848748639825898,0.6430903155603918
