method,num_queries,mrr,recall@1,recall@3,recall@5
hybrid,1638,0.5653981168393558,0.4652014652014652,0.6251526251526252,0.6746031746031746
keyword,1638,0.49733962859173786,0.40231990231990233,0.5500610500610501,0.605006105006105
time_aware,1638,0.5829529834091544,0.4829059829059829,0.6385836385836385,0.7032967032967034
type_aware,1638,0.5829529834091544,0.4829059829059829,0.6385836385836385,0.7032967032967034
vector,1638,0.5665034536762527,0.4713064713064713,0.6245421245421245,0.6788766788766789
