metric,baseline_mean,candidate_mean,delta
mrr,0.608214808926373,0.6568183996689738,0.04860359074260079
recall@1,0.5025284198956962,0.5567813082040196,0.05425288830832342
recall@3,0.66926880715956,0.7202361909599782,0.0509673838004181
recall@5,0.7320740303607334,0.7816046188857297,0.049530588524996366
