split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5
101,type_aware,552,0.6051383184297048,0.5072463768115942,0.6557971014492754,0.7192028985507246
101,ablation_intrinsic_only,552,0.6600953565049325,0.5543478260869565,0.7336956521739131,0.7952898550724637
101,ablation_full,552,0.6524206746712302,0.552536231884058,0.7155797101449275,0.782608695652174
103,type_aware,552,0.6253561526874405,0.5307971014492754,0.6739130434782609,0.7336956521739131
103,ablation_intrinsic_only,552,0.680467769942646,0.5887681159420289,0.7427536231884058,0.7971014492753623
103,ablation_full,552,0.6820080211893819,0.5960144927536232,0.7355072463768116,0.782608695652174
107,type_aware,552,0.5976799262795851,0.4927536231884058,0.6612318840579711,0.7192028985507246
107,ablation_intrinsic_only,552,0.6602251998102816,0.5561594202898551,0.7391304347826086,0.7862318840579711
107,ablation_full,552,0.6506968269312149,0.5452898550724637,0.7282608695652174,0.7898550724637681
109,type_aware,552,0.6183186223208509,0.5144927536231884,0.677536231884058,0.7481884057971014
109,ablation_intrinsic_only,552,0.6929409242575825,0.5996376811594203,0.7608695652173914,0.8043478260869565
109,ablation_full,552,0.6894578294165999,0.5978260869565217,0.7445652173913043,0.7952898550724637
113,type_aware,552,0.6116264496285077,0.5036231884057971,0.677536231884058,0.7463768115942029
113,ablation_intrinsic_only,552,0.6667276551989894,0.5688405797101449,0.7318840579710145,0.7934782608695652
113,ablation_full,552,0.6624157885398871,0.5634057971014492,0.7373188405797102,0.7880434782608695
127,type_aware,552,0.6229172952284705,0.5235507246376812,0.6793478260869565,0.7427536231884058
127,ablation_intrinsic_only,552,0.6643112036658022,0.5543478260869565,0.7409420289855072,0.7989130434782609
127,ablation_full,552,0.6602448139553571,0.5561594202898551,0.7355072463768116,0.7880434782608695
131,type_aware,552,0.5884738042219477,0.483695652173913,0.6413043478260869,0.7137681159420289
131,ablation_intrinsic_only,552,0.6606556097583746,0.5634057971014492,0.7246376811594203,0.7880434782608695
131,ablation_full,552,0.6582166251229342,0.5543478260869565,0.7264492753623188,0.7898550724637681
137,type_aware,552,0.6274939846497007,0.532608695652174,0.677536231884058,0.7336956521739131
137,ablation_intrinsic_only,552,0.6756936585699692,0.5760869565217391,0.7554347826086957,0.7971014492753623
137,ablation_full,552,0.6894756358556998,0.6068840579710145,0.7373188405797102,0.7844202898550725
139,type_aware,552,0.6273392291097997,0.5235507246376812,0.6847826086956522,0.7355072463768116
139,ablation_intrinsic_only,552,0.6797133690851441,0.572463768115942,0.7518115942028986,0.8170289855072463
139,ablation_full,552,0.6745307563016264,0.572463768115942,0.7409420289855072,0.802536231884058
149,type_aware,552,0.6196281692381156,0.519927536231884,0.6865942028985508,0.7373188405797102
149,ablation_intrinsic_only,552,0.6869397083391648,0.5960144927536232,0.75,0.7971014492753623
149,ablation_full,552,0.671222113571128,0.5742753623188406,0.7409420289855072,0.7844202898550725
151,type_aware,552,0.6113625987448991,0.5036231884057971,0.6684782608695652,0.7282608695652174
151,ablation_intrinsic_only,552,0.6860808899291956,0.5869565217391305,0.75,0.8188405797101449
151,ablation_full,552,0.6752050960110445,0.5742753623188406,0.7391304347826086,0.8097826086956522
157,type_aware,552,0.6018570750231974,0.4963768115942029,0.6594202898550725,0.730072463768116
157,ablation_intrinsic_only,552,0.6605059056971887,0.5489130434782609,0.7336956521739131,0.7952898550724637
157,ablation_full,552,0.6533781250463341,0.5561594202898551,0.7101449275362319,0.7735507246376812
163,type_aware,552,0.6177315681318458,0.5126811594202898,0.6902173913043478,0.7409420289855072
163,ablation_intrinsic_only,552,0.6712012767575098,0.5634057971014492,0.7391304347826086,0.7916666666666666
163,ablation_full,552,0.6713992552786263,0.5706521739130435,0.7373188405797102,0.7880434782608695
167,type_aware,552,0.617472435867818,0.5181159420289855,0.6721014492753623,0.730072463768116
167,ablation_intrinsic_only,552,0.668390236038202,0.5670289855072463,0.7409420289855072,0.7952898550724637
167,ablation_full,552,0.66884364504147,0.5706521739130435,0.7445652173913043,0.7934782608695652
173,type_aware,552,0.6055907770348876,0.4945652173913043,0.6594202898550725,0.7409420289855072
173,ablation_intrinsic_only,552,0.6575605390662935,0.5452898550724637,0.7445652173913043,0.8097826086956522
173,ablation_full,552,0.6636126347591397,0.5597826086956522,0.7336956521739131,0.7934782608695652
179,type_aware,552,0.5984347345738423,0.4945652173913043,0.6503623188405797,0.717391304347826
179,ablation_intrinsic_only,552,0.6759531488391782,0.572463768115942,0.7445652173913043,0.8061594202898551
179,ablation_full,552,0.655588059967378,0.5452898550724637,0.7391304347826086,0.7753623188405797
181,type_aware,552,0.6347347815294282,0.5416666666666666,0.6902173913043478,0.7391304347826086
181,ablation_intrinsic_only,552,0.6949377299010434,0.5978260869565217,0.7681159420289855,0.8260869565217391
181,ablation_full,552,0.6899234041857906,0.6086956521739131,0.7463768115942029,0.7952898550724637
191,type_aware,552,0.6276249435400205,0.5163043478260869,0.697463768115942,0.769927536231884
191,ablation_intrinsic_only,552,0.6944912024230545,0.5869565217391305,0.7663043478260869,0.8206521739130435
191,ablation_full,552,0.6824207344526365,0.5851449275362319,0.7391304347826086,0.7880434782608695
193,type_aware,552,0.6204311163832364,0.5054347826086957,0.6938405797101449,0.7626811594202898
193,ablation_intrinsic_only,552,0.6811742963355695,0.5760869565217391,0.7463768115942029,0.8152173913043478
193,ablation_full,552,0.6766856914253003,0.572463768115942,0.7373188405797102,0.8007246376811594
197,type_aware,552,0.6231363402471883,0.519927536231884,0.6847826086956522,0.7644927536231884
197,ablation_intrinsic_only,552,0.6883367261224826,0.5869565217391305,0.7735507246376812,0.8134057971014492
197,ablation_full,552,0.676089518935974,0.5778985507246377,0.7409420289855072,0.8079710144927537
