query_type,num_rows,mean_gold,multi_evidence_share,baseline_any_hit@1,candidate_any_hit@1,delta_any_hit@1,baseline_full_coverage@1,candidate_full_coverage@1,delta_full_coverage@1,baseline_coverage_ratio@1,candidate_coverage_ratio@1,delta_coverage_ratio@1,baseline_any_hit@3,candidate_any_hit@3,delta_any_hit@3,baseline_full_coverage@3,candidate_full_coverage@3,delta_full_coverage@3,baseline_coverage_ratio@3,candidate_coverage_ratio@3,delta_coverage_ratio@3,baseline_any_hit@5,candidate_any_hit@5,delta_any_hit@5,baseline_full_coverage@5,candidate_full_coverage@5,delta_full_coverage@5,baseline_coverage_ratio@5,candidate_coverage_ratio@5,delta_coverage_ratio@5,baseline_any_hit@10,candidate_any_hit@10,delta_any_hit@10,baseline_full_coverage@10,candidate_full_coverage@10,delta_full_coverage@10,baseline_coverage_ratio@10,candidate_coverage_ratio@10,delta_coverage_ratio@10
1,413,4.0556900726392255,0.9297820823244553,0.3728813559322034,0.4043583535108959,0.03147699757869249,0.009685230024213076,0.009685230024213076,0.0,0.11982633320405717,0.127873948757726,0.008047615553668841,0.5641646489104116,0.6053268765133172,0.041162227602905554,0.04600484261501211,0.06537530266343826,0.01937046004842615,0.23132867939163337,0.2661431855741783,0.034814506182544946,0.6610169491525424,0.7070217917675545,0.04600484261501214,0.0774818401937046,0.1016949152542373,0.02421307506053269,0.30918271263307584,0.35215471910387164,0.0429720064707958,0.7820823244552058,0.8305084745762712,0.04842615012106544,0.15254237288135594,0.16464891041162227,0.012106537530266331,0.4244977446551296,0.4842085678647422,0.059710823209612574
2,466,1.5600858369098713,0.39914163090128757,0.6137339055793991,0.6609442060085837,0.047210300429184615,0.34120171673819744,0.37124463519313305,0.03004291845493562,0.46065808297567956,0.49928469241773965,0.03862660944206009,0.796137339055794,0.8497854077253219,0.05364806866952787,0.5257510729613734,0.5858369098712446,0.06008583690987124,0.6568311874105865,0.7129828326180258,0.056151645207439205,0.8326180257510729,0.8948497854077253,0.0622317596566524,0.5901287553648069,0.6695278969957081,0.07939914163090123,0.7065450643776824,0.7805793991416309,0.0740343347639485,0.8841201716738197,0.9356223175965666,0.05150214592274682,0.6845493562231759,0.740343347639485,0.05579399141630903,0.7861230329041488,0.8412017167381974,0.05507868383404868
3,126,2.6507936507936507,0.6746031746031746,0.3412698412698413,0.3492063492063492,0.007936507936507908,0.06349206349206349,0.07936507936507936,0.015873015873015872,0.16732804232804233,0.1818783068783069,0.014550264550264563,0.5079365079365079,0.42857142857142855,-0.07936507936507936,0.19047619047619047,0.1984126984126984,0.007936507936507936,0.3316798941798942,0.316005291005291,-0.015674603174603174,0.5476190476190477,0.49206349206349204,-0.055555555555555636,0.23015873015873015,0.2619047619047619,0.03174603174603177,0.37747302624753604,0.3724426807760141,-0.005030345471521924,0.6190476190476191,0.626984126984127,0.007936507936507908,0.31746031746031744,0.3253968253968254,0.007936507936507964,0.4588520593422554,0.4617582218072414,0.002906162464985984
4,1096,1.4397810218978102,0.3403284671532847,0.5611313868613139,0.6177007299270073,0.05656934306569339,0.3476277372262774,0.38047445255474455,0.03284671532846717,0.4461526763990268,0.48862530413625305,0.042472627737226265,0.7171532846715328,0.7864963503649635,0.06934306569343063,0.5045620437956204,0.5684306569343066,0.06386861313868619,0.6090328467153284,0.6771289537712896,0.06809610705596114,0.7928832116788321,0.8458029197080292,0.0529197080291971,0.5866788321167883,0.6395985401459854,0.0529197080291971,0.6877737226277372,0.7442518248175183,0.05647810218978111,0.8613138686131386,0.9041970802919708,0.042883211678832134,0.6715328467153284,0.7226277372262774,0.051094890510948954,0.767396593673966,0.8175638686131387,0.050167274939172724
5,659,1.5022761760242793,0.3535660091047041,0.4233687405159332,0.5128983308042488,0.08952959028831564,0.27921092564491656,0.33839150227617604,0.059180576631259474,0.34046535154274155,0.4148204350025291,0.07435508345978753,0.5978755690440061,0.6965098634294385,0.09863429438543247,0.41122913505311076,0.48710166919575115,0.07587253414264039,0.4979261507334345,0.5855336368234699,0.08760748609003544,0.644916540212443,0.7556904400606981,0.11077389984825503,0.47040971168437024,0.5553869499241275,0.08497723823975728,0.552250885179565,0.652250885179565,0.09999999999999998,0.708649468892261,0.7814871016691958,0.07283763277693478,0.5402124430955993,0.590288315629742,0.050075872534142696,0.6205361659079414,0.6842690945877592,0.06373292867981784
