label,provider,model,base_url,key_env,key_available,result_dir,summary_path,batch_size,method,status
OpenAI text-embedding-3-small,OpenAI,text-embedding-3-small,https://api.openai.com/v1,OPENAI_API_KEY,False,work/agent_memory_experiment/results/llm_extracted_locomo10_all_v3_answerable_openai_text_embedding_3_small_type_004,work/agent_memory_experiment/results/llm_extracted_locomo10_all_v3_answerable_openai_text_embedding_3_small_type_004/summary.csv,128,type_aware,pending_api_key
Generic OpenAI-compatible embedding,OpenAI-compatible provider,provider_embedding_model,https://provider.example/v1,EXTERNAL_EMBEDDING_API_KEY,False,work/agent_memory_experiment/results/llm_extracted_locomo10_all_v3_answerable_provider_embedding_model_type_004,work/agent_memory_experiment/results/llm_extracted_locomo10_all_v3_answerable_provider_embedding_model_type_004/summary.csv,128,type_aware,pending_api_key
