split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5,train_fraction
101,type_aware,919,0.6111707911067401,0.5103373231773667,0.6637649619151251,0.7279651795429815,0.5
101,ablation_intrinsic_only,919,0.671054232612559,0.573449401523395,0.7334058759521219,0.794341675734494,0.5
101,ablation_full,919,0.6591310206304992,0.5538628944504896,0.7279651795429815,0.7856365614798694,0.5
103,type_aware,919,0.6117928776011707,0.5081610446137106,0.6681175190424374,0.735582154515778,0.5
103,ablation_intrinsic_only,919,0.6618511597205751,0.5603917301414582,0.7279651795429815,0.7965179542981502,0.5
103,ablation_full,919,0.6554713577916059,0.5636561479869423,0.7094668117519043,0.766050054406964,0.5
107,type_aware,919,0.6175414259313236,0.5190424374319913,0.6735582154515778,0.7301414581066377,0.5
107,ablation_intrinsic_only,919,0.6717249956378049,0.5690968443960827,0.7453754080522307,0.794341675734494,0.5
107,ablation_full,919,0.6603241889106425,0.5658324265505985,0.719260065288357,0.779107725788901,0.5
109,type_aware,919,0.6183037584793316,0.5125136017410229,0.6800870511425462,0.7431991294885746,0.5
109,ablation_intrinsic_only,919,0.6703932492067556,0.5690968443960827,0.7312295973884657,0.7867247007616975,0.5
109,ablation_full,919,0.6689167177929325,0.5712731229597389,0.7268770402611534,0.7932535364526659,0.5
113,type_aware,919,0.607385650982002,0.499455930359086,0.6702937976060935,0.735582154515778,0.5
113,ablation_intrinsic_only,919,0.6657415208156352,0.5690968443960827,0.735582154515778,0.7845484221980413,0.5
113,ablation_full,919,0.6621213853384907,0.5636561479869423,0.721436343852013,0.7845484221980413,0.5
127,type_aware,919,0.6140452693214125,0.5103373231773667,0.6746463547334058,0.7410228509249184,0.5
127,ablation_intrinsic_only,919,0.6743960446286975,0.5723612622415669,0.7410228509249184,0.7997823721436343,0.5
127,ablation_full,919,0.6540893576673098,0.5538628944504896,0.7159956474428727,0.7769314472252449,0.5
131,type_aware,919,0.6025878561098145,0.49510337323177367,0.6605005440696409,0.7301414581066377,0.5
131,ablation_intrinsic_only,919,0.6694157294204749,0.5680087051142546,0.735582154515778,0.794341675734494,0.5
131,ablation_full,919,0.6608644219399111,0.5636561479869423,0.7149075081610446,0.7780195865070729,0.5
137,type_aware,919,0.6182408774701471,0.515778019586507,0.6746463547334058,0.7312295973884657,0.5
137,ablation_intrinsic_only,919,0.6866058150655461,0.5919477693144722,0.750816104461371,0.8041349292709467,0.5
137,ablation_full,919,0.6805765796166893,0.5843307943416758,0.7464635473340587,0.7921653971708379,0.5
139,type_aware,919,0.6120199538234744,0.5114254624591947,0.6605005440696409,0.7225244831338411,0.5
139,ablation_intrinsic_only,919,0.6698121983935222,0.5680087051142546,0.7475516866158868,0.7921653971708379,0.5
139,ablation_full,919,0.6643989150174162,0.5712731229597389,0.7181719260065288,0.7878128400435256,0.5
149,type_aware,919,0.6021327025758951,0.4940152339499456,0.6670293797606094,0.7279651795429815,0.5
149,ablation_intrinsic_only,919,0.6725856526821367,0.5723612622415669,0.7410228509249184,0.8008705114254625,0.5
149,ablation_full,919,0.6570055562253188,0.5549510337323177,0.7170837867247007,0.7845484221980413,0.5
101,type_aware,736,0.6084996595789117,0.5081521739130435,0.6603260869565217,0.7228260869565217,0.6
101,ablation_intrinsic_only,736,0.6677510473252731,0.5665760869565217,0.7336956521739131,0.7921195652173914,0.6
101,ablation_full,736,0.6511657565408568,0.5421195652173914,0.7296195652173914,0.7894021739130435,0.6
103,type_aware,736,0.6254309767146049,0.5244565217391305,0.6739130434782609,0.7445652173913043,0.6
