candidate_limit,num_queries,num_memories,avg_candidates,rerank_seconds,rerank_milliseconds_per_query,candidate_pool_gold_recall,candidate_pool_answerable_queries
50,1838,2517,50.0,3.786750458,2.0602559619151255,0.8748639825897715,1838
100,1838,2517,100.0,5.947178292,3.235679157780196,0.9352557127312296,1838
200,1838,2517,200.0,10.556569999999999,5.743509249183895,0.9766050054406964,1838
500,1838,2517,500.0,24.646327874999997,13.409318756800868,0.9929270946681176,1838
