method,mrr_mean,recall@5_mean,mrr_delta_vs_type_aware,recall@5_delta_vs_type_aware,mrr_delta_vs_full_reranker,recall@5_delta_vs_full_reranker
ablation_intrinsic_only,0.6718996168287364,0.8014492753623188,0.0651904858774418,0.06811594202898541,0.011313680192397091,0.005797101449275366
ablation_no_keyword_features,0.6656551892053061,0.7989130434782609,0.058946058254011446,0.06557971014492747,0.005069252568966731,0.003260869565217428
ablation_full,0.6605859366363394,0.7956521739130434,0.053876805685044715,0.062318840579710044,0.0,0.0
ablation_no_semantic_features,0.6437895183910229,0.7663043478260869,0.0370803874397283,0.032971014492753525,-0.016796418245316413,-0.02934782608695652
ablation_no_type_persona_features,0.6403453254382759,0.7663043478260869,0.0336361944869813,0.032971014492753525,-0.02024061119806342,-0.02934782608695652
ablation_no_time_features,0.6318425881008762,0.7655797101449275,0.025133457149581595,0.032246376811594146,-0.02874334853546312,-0.030072463768115898
ablation_retrieval_rank_only,0.6147442537154411,0.7315217391304348,0.008035122764146418,-0.0018115942028985588,-0.0458416829208983,-0.0641304347826086
type_aware,0.6067091309512946,0.7333333333333334,0.0,0.0,-0.053876805685044715,-0.062318840579710044
ablation_type_aware_score_only,0.5467017976639609,0.6626811594202898,-0.060007333287333764,-0.07065217391304357,-0.11388413897237848,-0.13297101449275361
