feature,importance,split_id
entity_score,0.017681669504315805,record_01
hybrid_present,0.004283143993623062,record_01
hybrid_rr,0.06418675345225845,record_01
hybrid_score,0.07835499064359164,record_01
importance_score,0.01679297344824503,record_01
keyword_present,0.0037407836267940595,record_01
keyword_rr,0.02165885782743434,record_01
keyword_score,0.02670444654014041,record_01
memory_type=activity,2.5508484678124228e-05,record_01
memory_type=belief,0.0,record_01
memory_type=education,0.0004362776210440914,record_01
memory_type=emotion,0.0020224366406591046,record_01
memory_type=event,0.005911967297993901,record_01
memory_type=family,0.003114997443595853,record_01
memory_type=goal,0.004724636064817302,record_01
memory_type=habit,8.095061852009529e-18,record_01
memory_type=health,0.002095330621657463,record_01
memory_type=hobby,0.003937137506563697,record_01
memory_type=identity,0.0007606352776752633,record_01
memory_type=other,0.0010547827767001818,record_01
memory_type=plan,0.004132104154259018,record_01
memory_type=preference,0.004268946303902198,record_01
memory_type=project,2.3665253622386727e-06,record_01
memory_type=relationship,0.003669661680237686,record_01
memory_type=skill,1.5155198271318739e-05,record_01
memory_type=social,0.0,record_01
memory_type=work,0.003478041500143711,record_01
memory_type_score,0.008160020791690394,record_01
persona_score,0.009870442311314889,record_01
persona_weight,0.00857057471405198,record_01
persona_x_type,0.009740058685087882,record_01
query_type=1,0.03379810979041514,record_01
query_type=2,0.004788745507483256,record_01
query_type=3,0.005354825457016224,record_01
query_type=4,0.01457852077624487,record_01
query_type=5,0.008771065780043111,record_01
recency_gate,0.0021204682550026847,record_01
recency_x_decay,0.0032884329442249473,record_01
semantic_score,0.07766432653169819,record_01
semantic_x_keyword,0.03878245537964036,record_01
time_aware_present,0.0076608549366021,record_01
time_aware_rr,0.07527672513484147,record_01
time_aware_score,0.08004671763686495,record_01
time_decay,0.051038222375829556,record_01
type_aware_present,0.010366624338814296,record_01
type_aware_rr,0.06838551175968577,record_01
type_aware_score,0.07675722805570129,record_01
vector_present,0.009940248060018128,record_01
vector_rr,0.061531122829349444,record_01
vector_score,0.06045509381441519,record_01
entity_score,0.019232367677777067,record_02
hybrid_present,0.004094928208660306,record_02
