candidate_limit,method,num_queries,mrr,recall@1,recall@3,recall@5
50,hybrid,1838,0.5635734721136222,0.4646354733405876,0.6251360174102285,0.6795429815016322
50,keyword,1838,0.5154419273151674,0.40805223068552776,0.5837867247007617,0.6354733405875952
50,time_aware,1838,0.5760120390291968,0.4782372143634385,0.6381936887921654,0.691512513601741
50,type_aware,1838,0.5787574921334421,0.4820457018498368,0.6387377584330794,0.6947769314472253
100,hybrid,1838,0.5838733347592739,0.47932535364526657,0.6479869423286181,0.7083786724700761
100,keyword,1838,0.5194608041404416,0.41077257889009794,0.5772578890097932,0.6479869423286181
100,time_aware,1838,0.596960007057234,0.49455930359085964,0.6621327529923831,0.720348204570185
100,type_aware,1838,0.6002915181441448,0.4972796517954298,0.6670293797606094,0.7236126224156693
200,hybrid,1838,0.5895386530749356,0.484766050054407,0.6566920565832427,0.7127312295973884
200,keyword,1838,0.49466254264386655,0.38737758433079433,0.543525571273123,0.6207834602829162
200,time_aware,1838,0.6077389874963517,0.5027203482045702,0.6789989118607181,0.7312295973884657
200,type_aware,1838,0.6127111803873907,0.5092491838955386,0.6811751904243744,0.7334058759521219
500,hybrid,1838,0.5849189045626763,0.47606093579978237,0.6545157780195865,0.7116430903155604
500,keyword,1838,0.4944689089881173,0.3895538628944505,0.5495103373231773,0.6055495103373232
500,time_aware,1838,0.6081470170085963,0.5021762785636561,0.6741022850924918,0.7323177366702938
500,type_aware,1838,0.6116859267422214,0.5065288356909684,0.6746463547334058,0.7366702937976061
