split_seed,alpha,window_k,keep_top1,objective_score,train_cov5,train_full5,train_ids,test_ids
13,0.0,5,True,0.7813703703703703,0.5785185185185185,0.4666666666666667,52,24
17,0.8,5,True,0.5702008928571428,0.390625,0.25,53,23
23,0.0,5,True,0.7000146554834055,0.4427083333333333,0.25,54,22
29,0.8,5,True,0.5804414947797301,0.375,0.2222222222222222,47,29
31,0.0,5,True,0.5548390652557319,0.35648148148148145,0.2222222222222222,48,28
