num_queries,importance_weight,persona_weight,recall@1,recall@3,recall@5,mrr
1986,0.06,,0.3288016112789527,0.49244712990936557,0.5619335347432024,0.43421099689496684
1986,0.02,,0.32779456193353473,0.48841893252769386,0.553877139979859,0.4311894854831056
1986,0.08,,0.32729103726082576,0.4949647532729104,0.5659617321248741,0.43434018446581296
1986,0.04,,0.32729103726082576,0.4944612286002014,0.5609264853977844,0.43294323760310155
1986,0.03,,0.32729103726082576,0.48992950654582074,0.5584088620342397,0.4319832813670099
1986,0.015,,0.32729103726082576,0.4879154078549849,0.5508559919436052,0.4305681375338483
1986,0.03,0.05,0.32678751258811684,0.48439073514602216,0.5478348439073515,0.4286350584266884
1986,0.08,0.05,0.32628398791540786,0.486908358509567,0.5563947633434039,0.4298012611339222
1986,0.02,0.05,0.32628398791540786,0.48036253776435045,0.5417925478348439,0.42756969080024976
1986,0.01,,0.3257804632426989,0.4874118831822759,0.5503524672708963,0.4292276371799562
1986,0.04,0.04,0.3257804632426989,0.486404833836858,0.5503524672708963,0.42881926544846394
1986,0.06,0.05,0.3257804632426989,0.486404833836858,0.5513595166163142,0.42866653597335347
1986,0.04,0.05,0.3257804632426989,0.48539778449144005,0.5483383685800605,0.4285642298246004
1986,0.03,0.04,0.3257804632426989,0.4823766364551863,0.5488418932527693,0.42803572245051574
1986,0.02,0.04,0.3257804632426989,0.4798590130916415,0.5458207452165156,0.4273184780782082
1986,0.015,0.05,0.3257804632426989,0.4773413897280967,0.540785498489426,0.42635940158709856
1986,0.06,0.04,0.3252769385699899,0.48489425981873113,0.5513595166163142,0.42858870786046405
1986,0.015,0.04,0.3252769385699899,0.47935548841893255,0.5433031218529708,0.42641607770228723
1986,0.005,,0.324269889224572,0.48489425981873113,0.5453172205438066,0.42738089594891465
1986,0.03,0.03,0.324269889224572,0.4828801611278953,0.5498489425981873,0.4270481724984457
1986,0.08,0.04,0.32376636455186303,0.48539778449144005,0.553877139979859,0.42854954067961415
1986,0.02,0.03,0.32326283987915405,0.4818731117824773,0.5458207452165156,0.42576028747167927
1986,0.06,0.03,0.32275931520644513,0.486404833836858,0.553877139979859,0.4274550880237868
1986,0.04,0.03,0.32275931520644513,0.48590130916414903,0.5513595166163142,0.42685222749369556
1986,0.03,0.02,0.32275931520644513,0.48338368580060426,0.5488418932527693,0.42600789149571844
1986,0.015,0.03,0.32275931520644513,0.4788519637462236,0.5433031218529708,0.4246307407844714
1986,0.01,0.04,0.32275931520644513,0.4773413897280967,0.5427995971802618,0.42437174717445847
1986,0.01,0.05,0.32275931520644513,0.47583081570996977,0.5387713997985901,0.42394356540519784
1986,0.04,0.02,0.32225579053373615,0.48590130916414903,0.5503524672708963,0.4266585649194057
1986,0.02,0.02,0.3217522658610272,0.4818731117824773,0.5453172205438066,0.42467482323697253
1986,0.005,0.05,0.3217522658610272,0.4743202416918429,0.5372608257804632,0.4225714508175484
1986,0.0,,0.32124874118831825,0.4838872104733132,0.5427995971802618,0.4248252388881925
1986,0.015,0.02,0.32124874118831825,0.4808660624370594,0.5433031218529708,0.4239937099975174
1986,0.01,0.03,0.32124874118831825,0.47633434038267874,0.540281973816717,0.42323173360079547
1986,0.06,0.02,0.3207452165156093,0.4879154078549849,0.552870090634441,0.4269738800982669
1986,0.03,0.01,0.3207452165156093,0.48489425981873113,0.5483383685800605,0.42500561498134315
1986,0.01,0.02,0.3207452165156093,0.4783484390735146,0.540281973816717,0.42306138498124085
1986,0.005,0.04,0.3207452165156093,0.4738167170191339,0.5397784491440081,0.42240648451884516
1986,0.04,0.01,0.3202416918429003,0.486404833836858,0.5513595166163142,0.42532562569298066
1986,0.02,0.01,0.3202416918429003,0.4823766364551863,0.5468277945619335,0.42412804369658363
