variant,query_type,num_queries,best_method,best_mrr,recall@1,recall@5,mrr
llm_extracted_fact,1,278,vector,0.5134058251703952,0.37050359712230213,0.658273381294964,0.5134058251703952
llm_extracted_fact,2,310,type_aware,0.7226232328475968,0.632258064516129,0.8258064516129032,0.7226232328475968
llm_extracted_fact,3,86,type_aware,0.42911077516059865,0.32558139534883723,0.5465116279069767,0.42911077516059865
llm_extracted_fact,4,752,type_aware,0.6634421435440297,0.5571808510638298,0.7938829787234043,0.6634421435440297
llm_extracted_fact,5,412,keyword,0.5368027020200431,0.441747572815534,0.633495145631068,0.5368027020200431
locomo_observation,1,272,vector,0.5456958221512197,0.40808823529411764,0.7205882352941176,0.5456958221512197
locomo_observation,2,280,vector,0.7644923268181841,0.6928571428571428,0.8464285714285714,0.7644923268181841
locomo_observation,3,76,vector,0.3848521309963579,0.27631578947368424,0.47368421052631576,0.3848521309963579
locomo_observation,4,654,vector,0.6831499950225116,0.5886850152905199,0.8042813455657493,0.6831499950225116
locomo_observation,5,356,time_aware,0.48150224764205,0.39325842696629215,0.5702247191011236,0.48150224764205
