query_type,method,num_rows,mean_gold,multi_evidence_share,mrr,recall@1,recall@3,recall@5,recall@10,any_hit@1,full_coverage@1,coverage_ratio@1,any_hit@3,full_coverage@3,coverage_ratio@3,any_hit@5,full_coverage@5,coverage_ratio@5,any_hit@10,full_coverage@10,coverage_ratio@10
1,candidate_reranker,413,4.0556900726392255,0.9297820823244553,0.53182001614205,0.4043583535108959,0.6053268765133172,0.7070217917675545,0.8305084745762712,0.4043583535108959,0.009685230024213076,0.127873948757726,0.6053268765133172,0.06537530266343826,0.2661431855741783,0.7070217917675545,0.1016949152542373,0.35215471910387164,0.8305084745762712,0.16464891041162227,0.4842085678647422
1,set_selector_all,413,4.0556900726392255,0.9297820823244553,0.5308053729966563,0.4043583535108959,0.6053268765133172,0.6876513317191283,0.8305084745762712,0.4043583535108959,0.009685230024213076,0.127873948757726,0.6053268765133172,0.06053268765133172,0.25811723251190566,0.6876513317191283,0.09685230024213075,0.3388297537813276,0.8305084745762712,0.16464891041162227,0.4842085678647422
1,set_selector_type3,413,4.0556900726392255,0.9297820823244553,0.53182001614205,0.4043583535108959,0.6053268765133172,0.7070217917675545,0.8305084745762712,0.4043583535108959,0.009685230024213076,0.127873948757726,0.6053268765133172,0.06537530266343826,0.2661431855741783,0.7070217917675545,0.1016949152542373,0.35215471910387164,0.8305084745762712,0.16464891041162227,0.4842085678647422
2,candidate_reranker,466,1.5600858369098713,0.39914163090128757,0.7641162545132503,0.6609442060085837,0.8497854077253219,0.8948497854077253,0.9356223175965666,0.6609442060085837,0.37124463519313305,0.49928469241773965,0.8497854077253219,0.5858369098712446,0.7129828326180258,0.8948497854077253,0.6695278969957081,0.7805793991416309,0.9356223175965666,0.740343347639485,0.8412017167381974
2,set_selector_all,466,1.5600858369098713,0.39914163090128757,0.7628627631310034,0.6609442060085837,0.8540772532188842,0.8841201716738197,0.9356223175965666,0.6609442060085837,0.37124463519313305,0.49928469241773965,0.8540772532188842,0.5793991416309013,0.707796852646638,0.8841201716738197,0.6394849785407726,0.7584048640915594,0.9356223175965666,0.740343347639485,0.8412017167381974
2,set_selector_type3,466,1.5600858369098713,0.39914163090128757,0.7641162545132503,0.6609442060085837,0.8497854077253219,0.8948497854077253,0.9356223175965666,0.6609442060085837,0.37124463519313305,0.49928469241773965,0.8497854077253219,0.5858369098712446,0.7129828326180258,0.8948497854077253,0.6695278969957081,0.7805793991416309,0.9356223175965666,0.740343347639485,0.8412017167381974
3,candidate_reranker,126,2.6507936507936507,0.6746031746031746,0.41002456538170823,0.3492063492063492,0.42857142857142855,0.49206349206349204,0.626984126984127,0.3492063492063492,0.07936507936507936,0.1818783068783069,0.42857142857142855,0.1984126984126984,0.316005291005291,0.49206349206349204,0.2619047619047619,0.3724426807760141,0.626984126984127,0.3253968253968254,0.4617582218072414
3,set_selector_all,126,2.6507936507936507,0.6746031746031746,0.40669564121945073,0.3492063492063492,0.4126984126984127,0.46825396825396826,0.626984126984127,0.3492063492063492,0.07936507936507936,0.1818783068783069,0.4126984126984127,0.18253968253968253,0.3031084656084656,0.46825396825396826,0.23809523809523808,0.3509959539371304,0.626984126984127,0.3253968253968254,0.4617582218072414
3,set_selector_type3,126,2.6507936507936507,0.6746031746031746,0.40669564121945073,0.3492063492063492,0.4126984126984127,0.46825396825396826,0.626984126984127,0.3492063492063492,0.07936507936507936,0.1818783068783069,0.4126984126984127,0.18253968253968253,0.3031084656084656,0.46825396825396826,0.23809523809523808,0.3509959539371304,0.626984126984127,0.3253968253968254,0.4617582218072414
4,candidate_reranker,1096,1.4397810218978102,0.3403284671532847,0.7152064505851002,0.6177007299270073,0.7864963503649635,0.8458029197080292,0.9041970802919708,0.6177007299270073,0.38047445255474455,0.48862530413625305,0.7864963503649635,0.5684306569343066,0.6771289537712896,0.8458029197080292,0.6395985401459854,0.7442518248175183,0.9041970802919708,0.7226277372262774,0.8175638686131387
4,set_selector_all,1096,1.4397810218978102,0.3403284671532847,0.7157006719962924,0.6177007299270073,0.791058394160584,0.8385036496350365,0.9041970802919708,0.6177007299270073,0.38047445255474455,0.48862530413625305,0.791058394160584,0.5775547445255474,0.6844586374695864,0.8385036496350365,0.6377737226277372,0.7396289537712896,0.9041970802919708,0.7226277372262774,0.8175638686131387
4,set_selector_type3,1096,1.4397810218978102,0.3403284671532847,0.7152064505851002,0.6177007299270073,0.7864963503649635,0.8458029197080292,0.9041970802919708,0.6177007299270073,0.38047445255474455,0.48862530413625305,0.7864963503649635,0.5684306569343066,0.6771289537712896,0.8458029197080292,0.6395985401459854,0.7442518248175183,0.9041970802919708,0.7226277372262774,0.8175638686131387
5,candidate_reranker,659,1.5022761760242793,0.3535660091047041,0.6111984247416721,0.5128983308042488,0.6965098634294385,0.7556904400606981,0.7814871016691958,0.5128983308042488,0.33839150227617604,0.4148204350025291,0.6965098634294385,0.48710166919575115,0.5855336368234699,0.7556904400606981,0.5553869499241275,0.652250885179565,0.7814871016691958,0.590288315629742,0.6842690945877592
5,set_selector_all,659,1.5022761760242793,0.3535660091047041,0.6064347134908592,0.5128983308042488,0.6783004552352049,0.7329286798179059,0.7814871016691958,0.5128983308042488,0.33839150227617604,0.4148204350025291,0.6783004552352049,0.4764795144157815,0.5711178553363683,0.7329286798179059,0.5295902883156297,0.6274152756702074,0.7814871016691958,0.590288315629742,0.6842690945877592
5,set_selector_type3,659,1.5022761760242793,0.3535660091047041,0.6111984247416721,0.5128983308042488,0.6965098634294385,0.7556904400606981,0.7814871016691958,0.5128983308042488,0.33839150227617604,0.4148204350025291,0.6965098634294385,0.48710166919575115,0.5855336368234699,0.7556904400606981,0.5553869499241275,0.652250885179565,0.7814871016691958,0.590288315629742,0.6842690945877592
