query_type,num_pairs,improved_mrr,worsened_mrr,tied_mrr,baseline_mrr,candidate_mrr,delta_mrr,baseline_recall@1,candidate_recall@1,delta_recall@1,baseline_recall@3,candidate_recall@3,delta_recall@3,baseline_recall@5,candidate_recall@5,delta_recall@5
1,413,116,131,166,0.5084890081247944,0.537330994719722,0.028841986594927718,0.3728813559322034,0.4043583535108959,0.031476997578692496,0.5641646489104116,0.6053268765133172,0.04116222760290557,0.6610169491525424,0.7070217917675545,0.04600484261501211
2,466,87,39,340,0.7139661176444381,0.7661243012716756,0.05215818362723758,0.6137339055793991,0.6609442060085837,0.04721030042918455,0.796137339055794,0.8497854077253219,0.0536480686695279,0.8326180257510729,0.8948497854077253,0.06223175965665236
3,126,25,54,47,0.4387855141986207,0.41940801400645866,-0.019377500192162073,0.3412698412698413,0.3492063492063492,0.007936507936507936,0.5079365079365079,0.42857142857142855,-0.07936507936507936,0.5476190476190477,0.49206349206349204,-0.05555555555555555
4,1096,257,125,714,0.6669364090183056,0.7184315510240077,0.05149514200570197,0.5611313868613139,0.6177007299270073,0.05656934306569343,0.7171532846715328,0.7864963503649635,0.06934306569343066,0.7928832116788321,0.8458029197080292,0.05291970802919708
5,659,206,149,304,0.5243607756823002,0.6131095147455603,0.0887487390632601,0.4233687405159332,0.5128983308042488,0.08952959028831563,0.5978755690440061,0.6965098634294385,0.09863429438543247,0.644916540212443,0.7556904400606981,0.11077389984825493
