class,rows,share,mean_gold,multi_evidence_share,top5_coverage,top20_coverage,oracle_top5_coverage,coverage_rescue_gap,full_rescue_gap
candidate_missing_all_gold,32,0.25396825396825395,2.0625,0.5,0.0,0.0,0.0,0.0,0.0
partial_but_not_improvable_within_top20,11,0.0873015873015873,3.272727272727273,1,0.6257575757575757,0.6257575757575757,0.6257575757575757,0.0,0.0
rerank_rescuable_from_top20,50,0.3968253968253968,3.54,0.8,0.1408888888888889,0.7069738562091503,0.7069738562091503,0.5660849673202615,0.46
top5_already_full,33,0.2619047619047619,1.6666666666666667,0.5454545454545454,1.0,1.0,1.0,0.0,0.0
