variant,num_memories,memory_tokens,avg_tokens_per_memory,prompt_tokens,completion_tokens,total_tokens,num_queries,recall@1,recall@3,recall@5,mrr
llm_extracted_fact,2517,31148,12.375049662296384,361103,198471,559574,1838,0.5032644178454843,0.6702937976060935,0.7334058759521219,0.6093848002850233
locomo_observation,2507,40241,16.05145592341444,0,0,0,1638,0.4829059829059829,0.6385836385836385,0.7032967032967034,0.5829529834091544
