candidate_limit,method,num_queries,mrr,recall@1,recall@3,recall@5
50,hybrid,1838,0.5378462744952885,0.44178454842219805,0.5973884657236126,0.6501632208922742
50,keyword,1838,0.4927654003839982,0.39173014145810664,0.5549510337323177,0.6082698585418934
50,time_aware,1838,0.5489912070313128,0.45375408052230687,0.6093579978237215,0.6572361262241567
50,type_aware,1838,0.5517945750251562,0.4575625680087051,0.6099020674646355,0.6621327529923831
100,hybrid,1838,0.5465743383412073,0.44885745375408054,0.6066376496191512,0.6626768226332971
100,keyword,1838,0.48802684362806414,0.38846572361262244,0.545157780195865,0.602829162132753
100,time_aware,1838,0.558688654933571,0.46354733405875953,0.6175190424374319,0.6719260065288357
100,type_aware,1838,0.5620980122314129,0.46681175190424373,0.6213275299238302,0.6741022850924918
200,hybrid,1838,0.5505945359599833,0.45321001088139284,0.6137105549510338,0.6648531011969532
200,keyword,1838,0.4786069481891783,0.383025027203482,0.529379760609358,0.5826985854189336
200,time_aware,1838,0.564039325708466,0.46681175190424373,0.6273122959738846,0.6773667029379761
200,type_aware,1838,0.5708246007430081,0.4766050054406964,0.6289445048966268,0.6800870511425462
500,hybrid,1838,0.5490638307059854,0.4499455930359086,0.6164309031556039,0.6632208922742111
500,keyword,1838,0.48385791337108236,0.3911860718171926,0.5353645266594124,0.5875952121871599
500,time_aware,1838,0.5641168832084528,0.46735582154515776,0.6235038084874864,0.675734494015234
500,type_aware,1838,0.570633233416462,0.4749727965179543,0.6278563656147987,0.6789989118607181
