split_seed,method,num_queries,mrr,recall@1,recall@3,recall@5
13,type_aware,552,0.5853285374182874,0.48188405797101447,0.6413043478260869,0.7010869565217391
13,candidate_reranker,552,0.6266136927238545,0.5217391304347826,0.6847826086956522,0.7681159420289855
13,candidate_oracle,552,0.894927536231884,0.894927536231884,0.894927536231884,0.894927536231884
17,type_aware,552,0.5965495069985075,0.4891304347826087,0.657608695652174,0.7318840579710145
17,candidate_reranker,552,0.6503671201361693,0.5471014492753623,0.7264492753623188,0.7807971014492754
17,candidate_oracle,552,0.9057971014492754,0.9057971014492754,0.9057971014492754,0.9057971014492754
23,type_aware,552,0.6464330194203709,0.5452898550724637,0.7119565217391305,0.7753623188405797
23,candidate_reranker,552,0.7035533648564362,0.605072463768116,0.782608695652174,0.8297101449275363
23,candidate_oracle,552,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
29,type_aware,552,0.5968645448770465,0.483695652173913,0.6612318840579711,0.7246376811594203
29,candidate_reranker,552,0.653816439247627,0.5452898550724637,0.7264492753623188,0.7934782608695652
29,candidate_oracle,552,0.9003623188405797,0.9003623188405797,0.9003623188405797,0.9003623188405797
31,type_aware,552,0.6083700460422611,0.4945652173913043,0.6757246376811594,0.7336956521739131
31,candidate_reranker,552,0.6685790662176097,0.5597826086956522,0.7409420289855072,0.8061594202898551
31,candidate_oracle,552,0.9293478260869565,0.9293478260869565,0.9293478260869565,0.9293478260869565
