dataset,type_awareness_weight,method,num_queries,mrr,recall@1,recall@3,recall@5
locomo_1conversation,0.00,time_aware,175,0.6201494313025946,0.5085714285714286,0.68,0.7428571428571429
locomo_1conversation,0.04,type_aware,175,0.6238341950499385,0.5142857142857142,0.68,0.7371428571428571
locomo_1conversation,0.08,type_aware,175,0.6263015463880655,0.5142857142857142,0.6914285714285714,0.7371428571428571
locomo_1conversation,0.12,type_aware,175,0.6249820070446405,0.5085714285714286,0.6971428571428572,0.7485714285714286
locomo10,0.00,time_aware,1838,0.6051718344286686,0.499455930359086,0.6681175190424374,0.7268770402611534
locomo10,0.04,type_aware,1838,0.6093848002850233,0.5032644178454843,0.6702937976060935,0.7334058759521219
locomo10,0.08,type_aware,1838,0.6093240777435099,0.5032644178454843,0.6692056583242655,0.7334058759521219
locomo10,0.12,type_aware,1838,0.6055245847064713,0.49836779107725787,0.6632208922742111,0.7317736670293797
