baseline,method,delta_missing_all_gold_share,delta_coverage_ratio@20,delta_full_coverage@20,delta_coverage_ratio@50,delta_full_coverage@50,delta_coverage_ratio@100,delta_full_coverage@100
candidate_top20,candidate20_plus_facet100,-0.0873015873015873,0.0,0.0,0.060631289552858236,0.047619047619047616,0.09683447453055294,0.11111111111111116
candidate_top20,candidate20_plus_facet20,-0.023809523809523808,0.0,0.0,0.03146073244112457,0.031746031746031744,0.03146073244112457,0.031746031746031744
candidate_top20,candidate20_plus_facet50,-0.07142857142857142,0.0,0.0,0.060631289552858236,0.047619047619047616,0.06645139537296407,0.07142857142857151
candidate_top20,candidate20_plus_offline100,-0.07142857142857142,0.0,0.0,0.060179997925095985,0.047619047619047616,0.11147421931735657,0.134920634920635
candidate_top20,candidate20_plus_offline100_facet100,-0.07142857142857142,0.0,0.0,0.060179997925095985,0.047619047619047616,0.11147421931735657,0.134920634920635
candidate_top20,candidate20_plus_offline20,-0.015873015873015872,0.0,0.0,0.026213818860877702,0.031746031746031744,0.026213818860877702,0.031746031746031744
candidate_top20,candidate20_plus_offline20_facet20,-0.03968253968253968,0.0,0.0,0.04931787529826748,0.05555555555555558,0.04931787529826748,0.05555555555555558
candidate_top20,candidate20_plus_offline50,-0.06349206349206349,0.0,0.0,0.060179997925095985,0.047619047619047616,0.07069587094096896,0.05555555555555558
candidate_top20,candidate20_plus_offline50_facet50,-0.10317460317460317,0.0,0.0,0.060179997925095985,0.047619047619047616,0.10693925718435526,0.11111111111111116
candidate_top20,candidate_top100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_top20,candidate_top50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candidate_top20,facet_top100,0.015873015873015872,-0.2073697997717605,-0.1984126984126984,-0.1123262267870111,-0.12698412698412698,-0.03696571221081024,-0.055555555555555525
candidate_top20,facet_top20,0.16666666666666669,-0.2073697997717605,-0.1984126984126984,-0.2073697997717605,-0.1984126984126984,-0.2073697997717605,-0.1984126984126984
candidate_top20,facet_top50,0.07142857142857145,-0.2073697997717605,-0.1984126984126984,-0.1123262267870111,-0.12698412698412698,-0.1123262267870111,-0.12698412698412698
candidate_top20,offline_top100,-0.023809523809523808,-0.19436663554310613,-0.1984126984126984,-0.06839143064633257,-0.10317460317460314,0.042360462703599944,0.03968253968253971
candidate_top20,offline_top20,0.16666666666666669,-0.19436663554310613,-0.1984126984126984,-0.19436663554310613,-0.1984126984126984,-0.19436663554310613,-0.1984126984126984
candidate_top20,offline_top50,0.03968253968253971,-0.19436663554310613,-0.1984126984126984,-0.06839143064633257,-0.10317460317460314,-0.06839143064633257,-0.10317460317460314
